participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
F7;Xh;female;20;1;high;low;big;right;big;4.642247870302526
F7;Xh;female;20;2;high;small;big;right;big;1.6807478953851387
F7;Xh;female;20;3;high;low;high;left;low;2.785604746924946
F7;Xh;female;20;4;high;high;small;left;high;2.408880892471643
F7;Xh;female;20;5;low;high;small;right;small;5.998252116085496
F7;Xh;female;20;6;low;high;small;right;small;1.5169939080660697
F7;Xh;female;20;7;high;high;small;left;high;3.771904700086452
F7;Xh;female;20;8;low;low;high;left;low;4.024454190861434
F7;Xh;female;20;9;low;low;high;left;low;2.1786106059735175
F7;Xh;female;20;10;low;high;small;left;high;1.303276019229088
F7;Xh;female;20;11;low;low;high;right;high;3.164989111246541
F7;Xh;female;20;12;high;small;big;left;small;4.627630855451571
F7;Xh;female;20;13;low;low;high;right;high;1.7771941410319414
F7;Xh;female;20;14;low;small;big;right;big;4.549277261045063
F7;Xh;female;20;15;high;small;big;left;small;1.543098878202727
F7;Xh;female;20;16;low;low;high;right;high;2.2982573660556227
F7;Xh;female;20;17;high;low;big;left;low;1.416241899569286
F7;Xh;female;20;18;high;high;small;right;small;2.078468856838299
F7;Xh;female;20;19;high;high;small;right;small;1.1188343966787215
F7;Xh;female;20;20;low;low;big;right;big;1.871293690695893
F7;Xh;female;20;21;high;small;big;left;small;1.6827460409258492
F7;Xh;female;20;22;low;low;big;right;big;1.0535867738944944
F7;Xh;female;20;23;high;low;big;right;big;1.436932297918247
F7;Xh;female;20;24;low;small;big;right;big;0.8091478908027057
F7;Xh;female;20;25;high;small;big;right;big;1.0330262431234587
F7;Xh;female;20;26;low;high;small;left;high;1.8217328129685484
F7;Xh;female;20;27;high;low;big;right;big;1.4131748132640496
F7;Xh;female;20;28;low;low;big;right;big;1.931711343349889
F7;Xh;female;20;29;high;low;big;left;low;1.169585003895918
F7;Xh;female;20;30;low;low;big;right;big;1.5060400284419302
F7;Xh;female;20;31;high;small;big;left;small;1.1736898469098378
F7;Xh;female;20;32;low;low;high;left;low;4.617777890030993
F7;Xh;female;20;33;low;low;high;left;low;1.4960741690301802
F7;Xh;female;20;34;high;high;small;right;small;1.3237102349521592
F7;Xh;female;20;35;high;small;big;left;small;1.1094945860095322
F7;Xh;female;20;36;high;low;high;right;high;1.7859414553677198
F7;Xh;female;20;37;low;small;big;right;big;1.3765241188521031
F7;Xh;female;20;38;low;low;big;right;big;1.0068889047543053
F7;Xh;female;20;39;high;low;high;right;high;1.8934785534802359
F7;Xh;female;20;40;low;high;small;left;high;2.69422333833063
