participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF19;Afrikaans;male;22;1;low;small;big;right;big;2.0445667412132025
ARF19;Afrikaans;male;22;2;low;high;small;left;high;1.2836325857788324
ARF19;Afrikaans;male;22;3;high;low;high;right;high;2.674993259832263
ARF19;Afrikaans;male;22;4;high;low;high;right;high;0.9927112860605121
ARF19;Afrikaans;male;22;5;low;low;high;left;low;1.8098508343100548
ARF19;Afrikaans;male;22;6;high;small;big;right;big;3.421264332719147
ARF19;Afrikaans;male;22;7;high;low;high;right;high;1.8694414431229234
ARF19;Afrikaans;male;22;8;high;small;big;left;small;1.6710068685933948
ARF19;Afrikaans;male;22;9;high;low;high;right;high;1.1565954266116023
ARF19;Afrikaans;male;22;10;high;small;big;left;small;1.6899452861398458
ARF19;Afrikaans;male;22;11;high;low;big;left;low;1.3265710603445768
ARF19;Afrikaans;male;22;12;high;low;big;left;low;0.9376115361228585
ARF19;Afrikaans;male;22;13;low;small;big;right;big;1.0333828190341592
ARF19;Afrikaans;male;22;14;high;low;high;right;high;1.8800028739497066
ARF19;Afrikaans;male;22;15;low;low;big;right;big;1.4132082611322403
ARF19;Afrikaans;male;22;16;high;small;big;left;small;1.397676769644022
ARF19;Afrikaans;male;22;17;high;low;big;left;low;1.305413069203496
ARF19;Afrikaans;male;22;18;high;low;big;left;low;0.9119630809873343
ARF19;Afrikaans;male;22;19;low;small;big;right;big;1.035032401792705
ARF19;Afrikaans;male;22;20;low;high;small;left;high;1.4987623197957873
ARF19;Afrikaans;male;22;21;high;low;big;left;low;1.1787039311602712
ARF19;Afrikaans;male;22;22;low;small;big;right;big;1.5241976203396916
ARF19;Afrikaans;male;22;23;low;high;small;left;high;1.2810139385983348
ARF19;Afrikaans;male;22;24;high;high;small;left;high;1.1572092333808541
ARF19;Afrikaans;male;22;25;high;low;big;left;low;2.867806072346866
ARF19;Afrikaans;male;22;26;low;high;small;right;small;1.4542129477486014
ARF19;Afrikaans;male;22;27;low;low;high;left;low;0.9658162705600262
ARF19;Afrikaans;male;22;28;high;low;big;right;big;1.1948322569951415
ARF19;Afrikaans;male;22;29;low;high;small;left;high;1.122019729577005
ARF19;Afrikaans;male;22;30;low;low;high;left;low;1.0243067629635334
ARF19;Afrikaans;male;22;31;low;high;small;right;small;0.9188310112804174
ARF19;Afrikaans;male;22;32;high;low;big;right;big;1.064261463470757
ARF19;Afrikaans;male;22;33;low;high;small;right;small;1.230587805621326
ARF19;Afrikaans;male;22;34;low;small;big;right;big;1.510509917512536
ARF19;Afrikaans;male;22;35;high;low;high;right;high;0.975321794860065
ARF19;Afrikaans;male;22;36;low;low;big;left;low;0.7636510906741023
ARF19;Afrikaans;male;22;37;high;high;small;left;high;1.1133143259212375
ARF19;Afrikaans;male;22;38;low;high;small;right;small;1.0019515519961715
ARF19;Afrikaans;male;22;39;low;small;big;right;big;2.0310625890269876
ARF19;Afrikaans;male;22;40;low;low;high;left;low;1.1904823184013367
