participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF30;Afrikaans;male;24;1;low;low;big;left;low;53.809953465126455
ARF30;Afrikaans;male;24;2;high;small;big;left;small;2.701815645210445
ARF30;Afrikaans;male;24;3;high;small;big;right;big;2.9261410403996706
ARF30;Afrikaans;male;24;4;high;small;big;left;small;3.511882004328072
ARF30;Afrikaans;male;24;5;low;small;big;right;big;4.051976242102683
ARF30;Afrikaans;male;24;6;high;high;small;left;high;2.819943324662745
ARF30;Afrikaans;male;24;7;high;small;big;right;big;3.22476670332253
ARF30;Afrikaans;male;24;8;low;small;big;left;small;2.3769020615145564
ARF30;Afrikaans;male;24;9;high;high;small;right;small;1.2720164330676198
ARF30;Afrikaans;male;24;10;high;low;high;left;low;2.88039484154433
ARF30;Afrikaans;male;24;11;high;small;big;left;small;1.4812717773020267
ARF30;Afrikaans;male;24;12;high;low;high;right;high;1.4384177746251225
ARF30;Afrikaans;male;24;13;high;low;high;left;low;1.372594359330833
ARF30;Afrikaans;male;24;14;low;high;small;right;small;1.7495145797729492
ARF30;Afrikaans;male;24;15;low;low;high;right;high;1.6528429137542844
ARF30;Afrikaans;male;24;16;high;high;small;left;high;2.707483196631074
ARF30;Afrikaans;male;24;17;high;low;big;right;big;2.6374539202079177
ARF30;Afrikaans;male;24;18;low;high;small;left;high;2.7483185436576605
ARF30;Afrikaans;male;24;19;low;low;big;left;low;2.9878446450456977
ARF30;Afrikaans;male;24;20;low;low;big;right;big;2.5677562169730663
ARF30;Afrikaans;male;24;21;low;high;small;left;high;1.6110913967713714
ARF30;Afrikaans;male;24;22;low;low;big;right;big;2.424861518666148
ARF30;Afrikaans;male;24;23;high;low;high;right;high;1.8959776489064097
ARF30;Afrikaans;male;24;24;high;low;big;left;low;2.966092187911272
ARF30;Afrikaans;male;24;25;high;low;big;right;big;4.500743871554732
ARF30;Afrikaans;male;24;26;low;low;high;right;high;2.498677058145404
ARF30;Afrikaans;male;24;27;low;low;big;left;low;3.684535099193454
ARF30;Afrikaans;male;24;28;high;small;big;left;small;1.7963944459334016
ARF30;Afrikaans;male;24;29;high;low;big;right;big;2.274147587828338
ARF30;Afrikaans;male;24;30;high;small;big;left;small;3.4682464338839054
ARF30;Afrikaans;male;24;31;high;high;small;left;high;1.5613777544349432
ARF30;Afrikaans;male;24;32;low;small;big;left;small;4.314610308036208
ARF30;Afrikaans;male;24;33;low;high;small;right;small;1.5671542519703507
ARF30;Afrikaans;male;24;34;low;low;high;right;high;2.3503832248970866
ARF30;Afrikaans;male;24;35;low;low;high;left;low;2.4858175022527575
ARF30;Afrikaans;male;24;36;low;high;small;right;small;4.58289613481611
ARF30;Afrikaans;male;24;37;low;high;small;left;high;2.225656822323799
ARF30;Afrikaans;male;24;38;low;low;big;left;low;4.601437848061323
ARF30;Afrikaans;male;24;39;high;low;high;left;low;5.364147899672389
ARF30;Afrikaans;male;24;40;low;low;high;left;low;1.6680673053488135
