participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF16;Afrikaans;female;20;1;high;low;big;left;low;2.5542469331994653
ARF16;Afrikaans;female;20;2;low;low;high;left;low;3.3100918186828494
ARF16;Afrikaans;female;20;3;low;small;big;right;big;1.0866083856672049
ARF16;Afrikaans;female;20;4;low;high;small;left;high;1.5261519346386194
ARF16;Afrikaans;female;20;5;low;low;big;right;big;3.4973941817879677
ARF16;Afrikaans;female;20;6;low;small;big;right;big;0.9305865038186312
ARF16;Afrikaans;female;20;7;high;low;big;left;low;2.356715504080057
ARF16;Afrikaans;female;20;8;low;high;small;left;high;3.1832180777564645
ARF16;Afrikaans;female;20;9;low;low;big;right;big;2.923420552164316
ARF16;Afrikaans;female;20;10;low;low;high;left;low;2.0264248913154006
ARF16;Afrikaans;female;20;11;low;low;high;left;low;0.5721957599744201
ARF16;Afrikaans;female;20;12;low;low;big;right;big;2.1200650203973055
ARF16;Afrikaans;female;20;13;high;low;big;right;big;1.36140017490834
ARF16;Afrikaans;female;20;14;high;high;small;right;small;0.6898347614333034
ARF16;Afrikaans;female;20;15;low;low;big;left;low;1.6574221914634109
ARF16;Afrikaans;female;20;16;high;high;small;right;small;0.5765646463260055
ARF16;Afrikaans;female;20;17;low;small;big;right;big;0.6133986013010144
ARF16;Afrikaans;female;20;18;high;low;high;right;high;1.2148048700764775
ARF16;Afrikaans;female;20;19;high;small;big;left;small;1.5617302488535643
ARF16;Afrikaans;female;20;20;low;small;big;right;big;1.1882591918110847
ARF16;Afrikaans;female;20;21;high;low;big;left;low;0.7838708059862256
ARF16;Afrikaans;female;20;22;high;low;high;right;high;0.9700351590290666
ARF16;Afrikaans;female;20;23;high;high;small;right;small;0.7162904413416982
ARF16;Afrikaans;female;20;24;high;low;big;left;low;0.8192489920184016
ARF16;Afrikaans;female;20;25;low;low;high;left;low;0.8824202073737979
ARF16;Afrikaans;female;20;26;low;low;big;right;big;0.7817728091031313
ARF16;Afrikaans;female;20;27;low;small;big;right;big;0.46514108311384916
ARF16;Afrikaans;female;20;28;low;high;small;left;high;0.5269165290519595
ARF16;Afrikaans;female;20;29;low;high;small;left;high;0.5697946092113853
ARF16;Afrikaans;female;20;30;high;high;small;right;small;0.4936730498448014
ARF16;Afrikaans;female;20;31;high;small;big;left;small;2.4381031738594174
ARF16;Afrikaans;female;20;32;high;small;big;left;small;1.1297185681760311
ARF16;Afrikaans;female;20;33;low;high;small;left;high;0.5595714636147022
ARF16;Afrikaans;female;20;34;high;high;small;right;small;0.6990513429045677
ARF16;Afrikaans;female;20;35;high;small;big;left;small;0.6438142247498035
ARF16;Afrikaans;female;20;36;high;low;high;right;high;0.5067082606256008
ARF16;Afrikaans;female;20;37;high;low;high;right;high;0.5326780276373029
ARF16;Afrikaans;female;20;38;low;small;big;right;big;0.8781610578298569
ARF16;Afrikaans;female;20;39;high;low;high;right;high;0.5037450129166245
ARF16;Afrikaans;female;20;40;high;low;high;right;high;0.48723419290035963
