participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF2;Afrikaans;female;19;1;low;small;big;right;big;1.377297188155353
ARF2;Afrikaans;female;19;2;high;small;big;left;small;0.5162994414567947
ARF2;Afrikaans;female;19;3;low;high;small;left;high;0.7726438585668802
ARF2;Afrikaans;female;19;4;low;high;small;left;high;0.3769364031031728
ARF2;Afrikaans;female;19;5;high;low;big;left;low;1.6164297424256802
ARF2;Afrikaans;female;19;6;high;low;big;left;low;0.5664816303178668
ARF2;Afrikaans;female;19;7;high;high;small;right;small;0.5944305779412389
ARF2;Afrikaans;female;19;8;low;high;small;left;high;1.0025543067604303
ARF2;Afrikaans;female;19;9;high;low;high;right;high;3.497339313849807
ARF2;Afrikaans;female;19;10;high;low;high;right;high;1.974458122625947
ARF2;Afrikaans;female;19;11;high;low;big;left;low;1.0233988808467984
ARF2;Afrikaans;female;19;12;low;high;small;left;high;1.0879800766706467
ARF2;Afrikaans;female;19;13;low;high;small;left;high;0.41666018683463335
ARF2;Afrikaans;female;19;14;low;low;high;left;low;2.334805155172944
ARF2;Afrikaans;female;19;15;low;low;high;left;low;0.6728447377681732
ARF2;Afrikaans;female;19;16;high;low;high;right;high;0.8779557971283793
ARF2;Afrikaans;female;19;17;low;low;big;right;big;1.6693103136494756
ARF2;Afrikaans;female;19;18;high;low;big;left;low;0.8038331568241119
ARF2;Afrikaans;female;19;19;high;high;small;right;small;0.9870480773970485
ARF2;Afrikaans;female;19;20;low;small;big;right;big;0.9431018531322479
ARF2;Afrikaans;female;19;21;low;small;big;right;big;0.8821825804188848
ARF2;Afrikaans;female;19;22;high;small;big;left;small;0.4330596923828125
ARF2;Afrikaans;female;19;23;high;small;big;left;small;0.4014950059354305
ARF2;Afrikaans;female;19;24;low;high;small;left;high;1.6778913773596287
ARF2;Afrikaans;female;19;25;low;low;big;right;big;0.8249781224876642
ARF2;Afrikaans;female;19;26;high;low;big;left;low;0.6258302684873343
ARF2;Afrikaans;female;19;27;low;high;small;left;high;0.6731455232948065
ARF2;Afrikaans;female;19;28;low;small;big;right;big;0.4099189657717943
ARF2;Afrikaans;female;19;29;high;low;high;right;high;1.475228046067059
ARF2;Afrikaans;female;19;30;low;low;high;left;low;1.2723634019494057
ARF2;Afrikaans;female;19;31;high;low;big;left;low;0.9544914299622178
ARF2;Afrikaans;female;19;32;high;small;big;left;small;0.753417681902647
ARF2;Afrikaans;female;19;33;low;low;high;right;high;1.3634586986154318
ARF2;Afrikaans;female;19;34;high;small;big;left;small;0.7187701435759664
ARF2;Afrikaans;female;19;35;high;low;high;right;high;0.6699154367670417
ARF2;Afrikaans;female;19;36;high;low;high;right;high;0.6651557665318251
ARF2;Afrikaans;female;19;37;low;low;big;right;big;0.8037447361275554
ARF2;Afrikaans;female;19;38;low;high;small;left;high;0.7445630701258779
ARF2;Afrikaans;female;19;39;low;small;big;right;big;0.5902736634016037
ARF2;Afrikaans;female;19;40;high;low;big;left;low;0.41535481065511703
