participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
M10;Xh;male;21;1;high;small;big;left;small;4.999057374225231
M10;Xh;male;21;2;low;low;big;right;big;5.689348368498031
M10;Xh;male;21;3;low;low;high;right;high;2.1633616213221103
M10;Xh;male;21;4;high;high;small;left;high;5.303088125627255
M10;Xh;male;21;5;high;small;big;left;small;3.5826532388455234
M10;Xh;male;21;6;high;low;high;right;high;1.8077280311554205
M10;Xh;male;21;7;high;small;big;right;big;2.443461599643342
M10;Xh;male;21;8;low;low;big;right;big;2.2512097622675356
M10;Xh;male;21;9;low;high;small;left;high;1.6469495517667383
M10;Xh;male;21;10;high;high;small;left;high;2.797479541914072
M10;Xh;male;21;11;low;low;high;right;high;3.067700107669225
M10;Xh;male;21;12;high;low;big;left;low;2.239851674588863
M10;Xh;male;21;13;high;low;big;left;low;2.0795721394824795
M10;Xh;male;21;14;low;low;big;right;big;1.6665354832657613
M10;Xh;male;21;15;high;low;high;right;high;1.6488454610807821
M10;Xh;male;21;16;low;low;big;right;big;1.2281158261175733
M10;Xh;male;21;17;low;low;big;right;big;0.9422823306231294
M10;Xh;male;21;18;low;low;big;right;big;1.3286033625772689
M10;Xh;male;21;19;low;small;big;right;big;1.8786416715593077
M10;Xh;male;21;20;high;low;high;right;high;2.475547190697398
M10;Xh;male;21;21;low;high;small;left;high;1.272107790922746
M10;Xh;male;21;22;high;small;big;left;small;1.6277287495904602
M10;Xh;male;21;23;low;low;high;left;low;3.029348107986152
M10;Xh;male;21;24;low;high;small;left;high;2.992254916316597
M10;Xh;male;21;25;high;low;big;left;low;1.94045431559789
M10;Xh;male;21;26;low;low;high;right;high;1.8443313574243803
M10;Xh;male;21;27;high;low;high;right;high;2.183101893955609
M10;Xh;male;21;28;high;high;small;left;high;1.9318925264524296
M10;Xh;male;21;29;low;high;small;left;high;1.7310473211400677
M10;Xh;male;21;30;high;high;small;right;small;1.3174023792380467
M10;Xh;male;21;31;low;small;big;right;big;2.010454540606588
M10;Xh;male;21;32;high;high;small;left;high;1.7415531772130635
M10;Xh;male;21;33;low;small;big;right;big;1.6522322822420392
M10;Xh;male;21;34;high;low;high;right;high;1.2894903150154278
M10;Xh;male;21;35;low;high;small;left;high;1.9324585755821317
M10;Xh;male;21;36;high;small;big;right;big;1.385483800288057
M10;Xh;male;21;37;low;small;big;right;big;1.8379528442455921
M10;Xh;male;21;38;low;small;big;right;big;0.6883556114917155
M10;Xh;male;21;39;high;low;high;left;low;2.5092389560013544
M10;Xh;male;21;40;high;low;big;right;big;1.5857076936517842
