participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
M21;Xh;male;21;1;low;small;big;right;big;6.045771822187817
M21;Xh;male;21;2;low;low;high;left;low;3.960320903279353
M21;Xh;male;21;3;low;high;small;right;small;4.824787267774809
M21;Xh;male;21;4;low;small;big;right;big;1.509259087499231
M21;Xh;male;21;5;high;small;big;right;big;2.488400926988106
M21;Xh;male;21;6;low;low;high;left;low;2.519983231672086
M21;Xh;male;21;7;high;small;big;right;big;3.989948483213084
M21;Xh;male;21;8;low;small;big;right;big;2.141900306683965
M21;Xh;male;21;9;low;small;big;right;big;1.9756717294221744
M21;Xh;male;21;10;high;small;big;left;small;1.9483545299153775
M21;Xh;male;21;11;low;low;big;right;big;4.628103352530161
M21;Xh;male;21;12;low;low;high;left;low;2.9685380893060938
M21;Xh;male;21;13;high;high;small;left;high;0.8774843103019521
M21;Xh;male;21;14;low;high;small;right;small;1.596877098287223
M21;Xh;male;21;15;high;low;big;left;low;1.6525393855990842
M21;Xh;male;21;16;high;small;big;right;big;1.3143905557517428
M21;Xh;male;21;17;low;high;small;left;high;1.1845691217167769
M21;Xh;male;21;18;low;low;big;right;big;1.105459610989783
M21;Xh;male;21;19;low;high;small;left;high;0.8092146009148564
M21;Xh;male;21;20;low;low;big;right;big;0.4963350884790998
M21;Xh;male;21;21;high;low;big;left;low;1.763726592733292
M21;Xh;male;21;22;high;high;small;left;high;0.6739663583575748
M21;Xh;male;21;23;low;small;big;right;big;0.5443932123016566
M21;Xh;male;21;24;high;low;high;left;low;1.3195244713569991
M21;Xh;male;21;25;low;low;high;left;low;0.9580642067012377
M21;Xh;male;21;26;low;high;small;left;high;0.9127348817710299
M21;Xh;male;21;27;high;low;big;right;big;3.416020058823051
M21;Xh;male;21;28;high;high;small;left;high;0.8953989363508299
M21;Xh;male;21;29;high;high;small;right;small;0.629335318604717
M21;Xh;male;21;30;high;low;high;left;low;0.5765384082624223
M21;Xh;male;21;31;high;low;big;right;big;2.2008957313082647
M21;Xh;male;21;32;high;high;small;left;high;2.1683696166437585
M21;Xh;male;21;33;high;low;big;right;big;2.3940207211708184
M21;Xh;male;21;34;low;low;high;left;low;1.2739168586558662
M21;Xh;male;21;35;low;small;big;right;big;0.8765945789637044
M21;Xh;male;21;36;high;low;high;left;low;0.5895224068954121
M21;Xh;male;21;37;high;low;high;right;high;0.5005362466908991
M21;Xh;male;21;38;high;low;big;right;big;0.7963841539458372
M21;Xh;male;21;39;low;low;big;right;big;0.3842115713341627
M21;Xh;male;21;40;high;low;high;left;low;0.7495702329324558
