participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF28;Afrikaans;male;20;1;low;low;big;right;big;1.734839259646833
ARF28;Afrikaans;male;20;2;low;low;big;right;big;0.9165056487545371
ARF28;Afrikaans;male;20;3;low;small;big;right;big;0.8436394380405545
ARF28;Afrikaans;male;20;4;high;low;big;left;low;1.5750733511522412
ARF28;Afrikaans;male;20;5;high;small;big;left;small;0.9478623131290078
ARF28;Afrikaans;male;20;6;low;low;big;right;big;0.812550007365644
ARF28;Afrikaans;male;20;7;high;low;high;left;low;2.00295811612159
ARF28;Afrikaans;male;20;8;high;small;big;left;small;1.4576376359909773
ARF28;Afrikaans;male;20;9;high;low;big;left;low;0.8794131455942988
ARF28;Afrikaans;male;20;10;low;high;small;left;high;0.8062974633648992
ARF28;Afrikaans;male;20;11;low;low;big;right;big;0.9509538486599922
ARF28;Afrikaans;male;20;12;high;high;small;left;high;0.7705955980345607
ARF28;Afrikaans;male;20;13;low;high;small;left;high;0.5931563852354884
ARF28;Afrikaans;male;20;14;high;low;high;right;high;1.9393440121784806
ARF28;Afrikaans;male;20;15;high;low;big;left;low;1.106927178800106
ARF28;Afrikaans;male;20;16;low;high;small;left;high;0.5780042307451367
ARF28;Afrikaans;male;20;17;high;low;high;right;high;1.3683470506221056
ARF28;Afrikaans;male;20;18;low;low;high;right;high;0.9469169313088059
ARF28;Afrikaans;male;20;19;high;low;big;right;big;0.5989849884063005
ARF28;Afrikaans;male;20;20;low;low;big;right;big;0.5396687174215913
ARF28;Afrikaans;male;20;21;low;small;big;right;big;0.453794926404953
ARF28;Afrikaans;male;20;22;high;low;high;right;high;1.0790623081848025
ARF28;Afrikaans;male;20;23;low;low;high;left;low;1.2940321760252118
ARF28;Afrikaans;male;20;24;low;low;high;left;low;0.803522503003478
ARF28;Afrikaans;male;20;25;low;small;big;right;big;0.6129146609455347
ARF28;Afrikaans;male;20;26;high;small;big;left;small;0.8325328836217523
ARF28;Afrikaans;male;20;27;low;small;big;right;big;0.9607593677937984
ARF28;Afrikaans;male;20;28;low;low;big;right;big;0.7633013585582376
ARF28;Afrikaans;male;20;29;high;small;big;left;small;0.5710976179689169
ARF28;Afrikaans;male;20;30;high;small;big;left;small;0.42754490207880735
ARF28;Afrikaans;male;20;31;low;high;small;left;high;1.6145887151360512
ARF28;Afrikaans;male;20;32;high;high;small;right;small;0.8068449562415481
ARF28;Afrikaans;male;20;33;high;low;high;right;high;1.408312015235424
ARF28;Afrikaans;male;20;34;high;small;big;left;small;0.6519405581057072
ARF28;Afrikaans;male;20;35;low;low;high;left;low;1.1736059775575995
ARF28;Afrikaans;male;20;36;high;high;small;right;small;0.7680645808577538
ARF28;Afrikaans;male;20;37;low;low;high;left;low;1.0073692379519343
ARF28;Afrikaans;male;20;38;high;high;small;left;high;0.5333660440519452
ARF28;Afrikaans;male;20;39;low;high;small;left;high;0.6403516428545117
ARF28;Afrikaans;male;20;40;high;high;small;right;small;0.8280088687315583
