participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF12;Afrikaans;female;19;1;low;small;big;right;big;4.002634436823428
ARF12;Afrikaans;female;19;2;high;small;big;left;small;1.9810059256851673
ARF12;Afrikaans;female;19;3;low;low;big;right;big;1.559224889613688
ARF12;Afrikaans;female;19;4;low;small;big;right;big;0.774861853569746
ARF12;Afrikaans;female;19;5;high;low;high;left;low;1.9186237771064043
ARF12;Afrikaans;female;19;6;low;low;big;right;big;0.7913876734673977
ARF12;Afrikaans;female;19;7;high;high;small;right;small;1.6614010836929083
ARF12;Afrikaans;female;19;8;low;small;big;right;big;0.7647594958543777
ARF12;Afrikaans;female;19;9;low;high;small;left;high;0.9121288685128093
ARF12;Afrikaans;female;19;10;high;low;big;left;low;0.896216856315732
ARF12;Afrikaans;female;19;11;low;high;small;left;high;0.8933700537309051
ARF12;Afrikaans;female;19;12;high;low;high;right;high;1.7548588458448648
ARF12;Afrikaans;female;19;13;high;high;small;right;small;1.7980235014110804
ARF12;Afrikaans;female;19;14;low;low;high;right;high;0.98271669074893
ARF12;Afrikaans;female;19;15;high;small;big;left;small;0.6025407277047634
ARF12;Afrikaans;female;19;16;low;small;big;right;big;0.5693726418539882
ARF12;Afrikaans;female;19;17;high;low;big;left;low;0.6977664921432734
ARF12;Afrikaans;female;19;18;high;low;big;left;low;0.47744919918477535
ARF12;Afrikaans;female;19;19;low;low;high;right;high;1.0564548633992672
ARF12;Afrikaans;female;19;20;low;low;big;left;low;0.5753011107444763
ARF12;Afrikaans;female;19;21;high;small;big;right;big;0.45247455034404993
ARF12;Afrikaans;female;19;22;low;low;big;right;big;0.5176158705726266
ARF12;Afrikaans;female;19;23;low;low;big;right;big;0.5673867482692003
ARF12;Afrikaans;female;19;24;low;low;high;right;high;0.7007731599733233
ARF12;Afrikaans;female;19;25;high;small;big;left;small;0.48302122578024864
ARF12;Afrikaans;female;19;26;high;low;high;right;high;0.45180153381079435
ARF12;Afrikaans;female;19;27;high;low;big;left;low;0.5217514699324965
ARF12;Afrikaans;female;19;28;low;low;high;right;high;0.649130861274898
ARF12;Afrikaans;female;19;29;low;high;small;left;high;0.554261539131403
ARF12;Afrikaans;female;19;30;high;high;small;right;small;0.5566121637821198
ARF12;Afrikaans;female;19;31;high;high;small;right;small;0.4543096562847495
ARF12;Afrikaans;female;19;32;high;low;high;left;low;0.5794856566935778
ARF12;Afrikaans;female;19;33;low;low;high;right;high;0.4435145454481244
ARF12;Afrikaans;female;19;34;high;small;big;left;small;0.5183165185153484
ARF12;Afrikaans;female;19;35;low;low;big;right;big;0.47493397165089846
ARF12;Afrikaans;female;19;36;high;high;small;left;high;0.5834854692220688
ARF12;Afrikaans;female;19;37;high;small;big;right;big;0.5308452900499105
ARF12;Afrikaans;female;19;38;low;low;high;left;low;0.5800974909216166
ARF12;Afrikaans;female;19;39;low;high;small;left;high;1.1495297364890575
ARF12;Afrikaans;female;19;40;high;high;small;right;small;0.6798437181860209
