participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF11;Afrikaans;female;19;1;high;high;small;left;high;3.7154512433335185
ARF11;Afrikaans;female;19;2;low;small;big;right;big;2.4841166054829955
ARF11;Afrikaans;female;19;3;low;low;big;right;big;3.114750358276069
ARF11;Afrikaans;female;19;4;high;high;small;left;high;2.886165418662131
ARF11;Afrikaans;female;19;5;high;low;high;right;high;2.131176706403494
ARF11;Afrikaans;female;19;6;low;low;high;right;high;3.199466402642429
ARF11;Afrikaans;female;19;7;high;low;high;right;high;3.0845703883096576
ARF11;Afrikaans;female;19;8;high;low;high;right;high;2.7784981187433004
ARF11;Afrikaans;female;19;9;low;small;big;right;big;2.638326670974493
ARF11;Afrikaans;female;19;10;low;small;big;right;big;2.8650192683562636
ARF11;Afrikaans;female;19;11;low;high;small;left;high;9.244637477211654
ARF11;Afrikaans;female;19;12;low;small;big;right;big;1.3986146515235305
ARF11;Afrikaans;female;19;13;high;small;big;right;big;2.8719436451792717
ARF11;Afrikaans;female;19;14;high;small;big;right;big;2.9455866869539022
ARF11;Afrikaans;female;19;15;high;low;high;right;high;2.6316225547343493
ARF11;Afrikaans;female;19;16;low;low;high;right;high;2.660479385405779
ARF11;Afrikaans;female;19;17;low;low;high;right;high;1.8240370824933052
ARF11;Afrikaans;female;19;18;high;low;big;right;big;1.932328057475388
ARF11;Afrikaans;female;19;19;low;high;small;left;high;1.9884809516370296
ARF11;Afrikaans;female;19;20;high;high;small;left;high;1.378438356332481
ARF11;Afrikaans;female;19;21;low;low;big;right;big;1.3461126275360584
ARF11;Afrikaans;female;19;22;low;high;small;left;high;1.1478931810706854
ARF11;Afrikaans;female;19;23;high;high;small;left;high;6.934190005995333
ARF11;Afrikaans;female;19;24;low;low;high;right;high;2.221608064137399
ARF11;Afrikaans;female;19;25;low;low;big;right;big;1.38795730099082
ARF11;Afrikaans;female;19;26;high;small;big;right;big;3.272314061410725
ARF11;Afrikaans;female;19;27;high;low;big;right;big;1.0648515867069364
ARF11;Afrikaans;female;19;28;high;small;big;right;big;3.095950096845627
ARF11;Afrikaans;female;19;29;low;high;small;left;high;3.4185193702578545
ARF11;Afrikaans;female;19;30;high;low;big;right;big;6.6035895282402635
ARF11;Afrikaans;female;19;31;low;small;big;right;big;1.7927814703434706
ARF11;Afrikaans;female;19;32;low;low;big;right;big;3.0931932935491204
ARF11;Afrikaans;female;19;33;low;high;small;left;high;2.871445493772626
ARF11;Afrikaans;female;19;34;high;high;small;right;small;6.829654502682388
ARF11;Afrikaans;female;19;35;high;low;big;left;low;6.3797555742785335
ARF11;Afrikaans;female;19;36;high;low;high;left;low;12.931373598054051
ARF11;Afrikaans;female;19;37;high;low;high;left;low;6.049823772162199
ARF11;Afrikaans;female;19;38;low;low;big;right;big;1.3755181338638067
ARF11;Afrikaans;female;19;39;high;low;big;right;big;4.798725728876889
ARF11;Afrikaans;female;19;40;low;small;big;right;big;5.094536564312875
