participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
F10;Xh;female;21;1;low;low;big;right;big;51.274523170723114
F10;Xh;female;21;2;high;low;big;left;low;2.4160244009108283
F10;Xh;female;21;3;high;small;big;left;small;0.9302981942309998
F10;Xh;female;21;4;low;low;big;right;big;1.7325970484234858
F10;Xh;female;21;5;low;low;high;right;high;2.921587590186391
F10;Xh;female;21;6;low;small;big;right;big;1.1777729795430787
F10;Xh;female;21;7;low;low;high;left;low;2.9944452975178137
F10;Xh;female;21;8;low;low;high;left;low;1.7017236867104657
F10;Xh;female;21;9;low;low;big;right;big;1.1153749444056302
F10;Xh;female;21;10;low;low;big;right;big;0.9025929708150215
F10;Xh;female;21;11;high;high;small;right;small;1.8868928047304507
F10;Xh;female;21;12;low;high;small;left;high;1.3400593443657272
F10;Xh;female;21;13;low;low;high;left;low;1.7926835189282428
F10;Xh;female;21;14;low;low;high;left;low;0.8791560104873497
F10;Xh;female;21;15;high;high;small;right;small;1.2957717234967276
F10;Xh;female;21;16;high;small;big;left;small;1.801555569312768
F10;Xh;female;21;17;high;low;high;left;low;1.09363218411454
F10;Xh;female;21;18;high;small;big;left;small;0.49504233329207636
F10;Xh;female;21;19;high;low;big;left;low;0.8442780682817101
F10;Xh;female;21;20;low;high;small;left;high;1.2525956747413147
F10;Xh;female;21;21;low;small;big;right;big;1.1286182835465297
F10;Xh;female;21;22;high;low;big;left;low;3.1351981112675276
F10;Xh;female;21;23;high;high;small;right;small;1.0456680070783477
F10;Xh;female;21;24;low;small;big;right;big;1.5893953024060465
F10;Xh;female;21;25;low;high;small;left;high;1.750018651218852
F10;Xh;female;21;26;low;low;high;left;low;1.9799170978658367
F10;Xh;female;21;27;high;small;big;left;small;1.593301594053628
F10;Xh;female;21;28;high;small;big;left;small;0.4873027758731041
F10;Xh;female;21;29;high;high;small;right;small;1.0886376097332686
F10;Xh;female;21;30;low;low;high;right;high;1.5964803902024869
F10;Xh;female;21;31;high;low;high;right;high;0.8994572007213719
F10;Xh;female;21;32;high;small;big;left;small;1.0722545531461947
F10;Xh;female;21;33;low;high;small;left;high;3.168234617478447
F10;Xh;female;21;34;high;high;small;left;high;0.45045629324158654
F10;Xh;female;21;35;high;high;small;right;small;1.0565291240927763
F10;Xh;female;21;36;low;low;big;right;big;2.120828594896011
F10;Xh;female;21;37;high;small;big;left;small;1.1664066024823114
F10;Xh;female;21;38;low;low;high;right;high;0.9165207793994341
F10;Xh;female;21;39;high;low;big;left;low;3.228231088578468
F10;Xh;female;21;40;high;low;big;left;low;0.9209125943307299
