participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF23;Afrikaans;female;23;1;high;high;small;left;high;1.4632582142949104
ARF23;Afrikaans;female;23;2;low;high;small;right;small;0.7824967466294765
ARF23;Afrikaans;female;23;3;high;low;high;left;low;1.729143681935966
ARF23;Afrikaans;female;23;4;low;low;high;right;high;2.150112360715866
ARF23;Afrikaans;female;23;5;high;high;small;left;high;1.4971841843798757
ARF23;Afrikaans;female;23;6;low;high;small;left;high;2.0714759677648544
ARF23;Afrikaans;female;23;7;high;small;big;left;small;2.2333090836182237
ARF23;Afrikaans;female;23;8;high;small;big;left;small;0.545368243008852
ARF23;Afrikaans;female;23;9;low;low;high;right;high;1.6738141980022192
ARF23;Afrikaans;female;23;10;high;low;high;left;low;1.7403927333652973
ARF23;Afrikaans;female;23;11;high;low;big;left;low;0.9880925351753831
ARF23;Afrikaans;female;23;12;low;low;big;right;big;0.5430795904248953
ARF23;Afrikaans;female;23;13;high;low;big;left;low;0.6958283614367247
ARF23;Afrikaans;female;23;14;high;low;big;left;low;0.42114354483783245
ARF23;Afrikaans;female;23;15;high;low;big;left;low;0.5359535068273544
ARF23;Afrikaans;female;23;16;low;high;small;left;high;0.8393127880990505
ARF23;Afrikaans;female;23;17;high;low;big;left;low;0.9452701127156615
ARF23;Afrikaans;female;23;18;high;small;big;left;small;0.7279685670509934
ARF23;Afrikaans;female;23;19;low;small;big;right;big;0.528710188344121
ARF23;Afrikaans;female;23;20;low;high;small;left;high;0.7442768905311823
ARF23;Afrikaans;female;23;21;low;high;small;left;high;0.7396881384775043
ARF23;Afrikaans;female;23;22;low;high;small;left;high;0.43385783955454826
ARF23;Afrikaans;female;23;23;low;low;high;left;low;2.184981342405081
ARF23;Afrikaans;female;23;24;high;small;big;left;small;0.44795014150440693
ARF23;Afrikaans;female;23;25;high;small;big;left;small;0.37611220497637987
ARF23;Afrikaans;female;23;26;high;high;small;right;small;0.6400603307411075
ARF23;Afrikaans;female;23;27;high;small;big;left;small;0.3549711871892214
ARF23;Afrikaans;female;23;28;low;small;big;right;big;0.49352028872817755
ARF23;Afrikaans;female;23;29;high;low;big;left;low;0.6616422636434436
ARF23;Afrikaans;female;23;30;low;low;high;right;high;0.8828919120132923
ARF23;Afrikaans;female;23;31;low;low;big;right;big;1.0109522147104144
ARF23;Afrikaans;female;23;32;high;high;small;left;high;0.572825750336051
ARF23;Afrikaans;female;23;33;high;low;high;right;high;0.6669166628271341
ARF23;Afrikaans;female;23;34;low;low;high;left;low;1.0487153669819236
ARF23;Afrikaans;female;23;35;low;low;big;right;big;0.5578121468424797
ARF23;Afrikaans;female;23;36;high;low;high;left;low;0.7174691092222929
ARF23;Afrikaans;female;23;37;low;small;big;right;big;0.9571554716676474
ARF23;Afrikaans;female;23;38;low;low;high;right;high;1.0504711316898465
ARF23;Afrikaans;female;23;39;low;low;big;right;big;0.7262246441096067
ARF23;Afrikaans;female;23;40;low;small;big;right;big;0.31127798557281494
