participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF20;Afrikaans;male;21;1;low;low;big;right;big;1.9529136884957552
ARF20;Afrikaans;male;21;2;low;low;big;right;big;2.3151124054566026
ARF20;Afrikaans;male;21;3;low;low;high;right;high;3.6355749992653728
ARF20;Afrikaans;male;21;4;high;high;small;right;small;4.088385860435665
ARF20;Afrikaans;male;21;5;high;high;small;left;high;2.2456996981054544
ARF20;Afrikaans;male;21;6;low;small;big;left;small;3.204247387126088
ARF20;Afrikaans;male;21;7;low;low;high;left;low;2.12956580799073
ARF20;Afrikaans;male;21;8;high;high;small;right;small;1.2958289934322238
ARF20;Afrikaans;male;21;9;low;small;big;left;small;1.6659235190600157
ARF20;Afrikaans;male;21;10;high;low;high;right;high;1.413241813890636
ARF20;Afrikaans;male;21;11;high;low;big;left;low;3.3074305402114987
ARF20;Afrikaans;male;21;12;low;low;big;right;big;3.0844192067161202
ARF20;Afrikaans;male;21;13;high;small;big;left;small;2.472570319660008
ARF20;Afrikaans;male;21;14;high;low;high;right;high;2.0496946945786476
ARF20;Afrikaans;male;21;15;high;low;high;left;low;1.5713186673820019
ARF20;Afrikaans;male;21;16;high;low;big;left;low;1.8464412409812212
ARF20;Afrikaans;male;21;17;high;low;big;left;low;1.3554882844910026
ARF20;Afrikaans;male;21;18;low;low;big;right;big;2.1203598845750093
ARF20;Afrikaans;male;21;19;low;low;high;right;high;2.0302841793745756
ARF20;Afrikaans;male;21;20;low;high;small;right;small;1.5700223688036203
ARF20;Afrikaans;male;21;21;low;low;big;right;big;1.107632958330214
ARF20;Afrikaans;male;21;22;high;high;small;right;small;1.3005034001544118
ARF20;Afrikaans;male;21;23;low;low;high;left;low;0.7481002574786544
ARF20;Afrikaans;male;21;24;low;high;small;left;high;1.2948816381394863
ARF20;Afrikaans;male;21;25;high;small;big;right;big;1.3983233394101262
ARF20;Afrikaans;male;21;26;high;small;big;right;big;0.49251096136868
ARF20;Afrikaans;male;21;27;low;high;small;left;high;1.2454514130949974
ARF20;Afrikaans;male;21;28;low;low;big;right;big;0.5117659531533718
ARF20;Afrikaans;male;21;29;low;small;big;right;big;0.5759950485080481
ARF20;Afrikaans;male;21;30;low;small;big;right;big;0.3762787813320756
ARF20;Afrikaans;male;21;31;high;small;big;right;big;0.6620819941163063
ARF20;Afrikaans;male;21;32;low;small;big;right;big;0.468750505708158
ARF20;Afrikaans;male;21;33;low;high;small;left;high;0.7185392258688807
ARF20;Afrikaans;male;21;34;high;low;big;right;big;0.36935953609645367
ARF20;Afrikaans;male;21;35;high;small;big;left;small;0.7827324010431767
ARF20;Afrikaans;male;21;36;high;high;small;left;high;1.0053016357123852
ARF20;Afrikaans;male;21;37;high;low;high;right;high;0.7358399033546448
ARF20;Afrikaans;male;21;38;low;low;high;right;high;0.5304679265245795
ARF20;Afrikaans;male;21;39;high;low;high;left;low;0.3744369652122259
ARF20;Afrikaans;male;21;40;high;high;small;left;high;1.787306941114366
