participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
F2;Xh;female;21;1;low;low;big;right;big;3.630893730005482
F2;Xh;female;21;2;high;high;small;left;high;2.4097887815732975
F2;Xh;female;21;3;high;high;small;left;high;1.1134292985370848
F2;Xh;female;21;4;high;small;big;right;big;1.8877367468958255
F2;Xh;female;21;5;low;low;high;left;low;20.517356274242047
F2;Xh;female;21;6;low;small;big;right;big;1.018801594240358
F2;Xh;female;21;7;low;low;high;right;high;1.7651409260870423
F2;Xh;female;21;8;low;high;small;left;high;1.0506321868742816
F2;Xh;female;21;9;high;low;high;left;low;4.7093700867844746
F2;Xh;female;21;10;low;low;high;right;high;2.8792274574225303
F2;Xh;female;21;11;high;low;big;right;big;1.2583497180894483
F2;Xh;female;21;12;low;small;big;right;big;3.099828330014134
F2;Xh;female;21;13;low;low;big;left;low;3.148599344189279
F2;Xh;female;21;14;high;small;big;right;big;1.285849679610692
F2;Xh;female;21;15;low;low;high;right;high;2.2445328298490494
F2;Xh;female;21;16;low;small;big;right;big;1.298190655914368
F2;Xh;female;21;17;low;low;high;left;low;1.639988805342
F2;Xh;female;21;18;low;low;big;right;big;1.1557033792196307
F2;Xh;female;21;19;high;high;small;left;high;1.0903175993298646
F2;Xh;female;21;20;high;high;small;left;high;1.274814879434416
F2;Xh;female;21;21;high;low;big;right;big;1.1714031505107414
F2;Xh;female;21;22;low;low;big;right;big;1.0594742374669295
F2;Xh;female;21;23;high;small;big;right;big;1.18550858963863
F2;Xh;female;21;24;low;high;small;left;high;1.5108999983931426
F2;Xh;female;21;25;low;high;small;left;high;1.0969297953124624
F2;Xh;female;21;26;high;low;big;right;big;1.135940211941488
F2;Xh;female;21;27;high;high;small;left;high;1.269913462398108
F2;Xh;female;21;28;high;low;big;right;big;1.5636676983849611
F2;Xh;female;21;29;low;low;high;left;low;3.3045818006212357
F2;Xh;female;21;30;low;small;big;right;big;1.6942963642068207
F2;Xh;female;21;31;high;small;big;right;big;1.5167235150001943
F2;Xh;female;21;32;high;low;big;right;big;10.012301897600992
F2;Xh;female;21;33;low;low;high;right;high;4.3542958352772985
F2;Xh;female;21;34;high;small;big;right;big;1.2063793816196267
F2;Xh;female;21;35;high;small;big;right;big;1.030997308291262
F2;Xh;female;21;36;high;high;small;left;high;1.1323974707047455
F2;Xh;female;21;37;high;high;small;left;high;1.4590832135581877
F2;Xh;female;21;38;high;low;high;left;low;2.803857265622355
F2;Xh;female;21;39;low;low;big;right;big;1.8240909562737215
F2;Xh;female;21;40;low;low;high;right;high;2.1139385059068445
