participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
M4;Xh;male;19;1;low;low;big;left;low;2.503120572800981
M4;Xh;male;19;2;high;small;big;right;big;1.9453675746917725
M4;Xh;male;19;3;high;low;big;right;big;2.3827250015747268
M4;Xh;male;19;4;high;high;small;left;high;4.6501058480353095
M4;Xh;male;19;5;low;low;high;left;low;7.453785483143292
M4;Xh;male;19;6;low;high;small;right;small;2.5449825507821515
M4;Xh;male;19;7;low;low;big;left;low;4.077006760606309
M4;Xh;male;19;8;low;low;high;left;low;2.921029830496991
M4;Xh;male;19;9;low;low;high;left;low;2.181464140943717
M4;Xh;male;19;10;low;high;small;right;small;3.040180409414461
M4;Xh;male;19;11;high;high;small;left;high;1.3666060223185923
M4;Xh;male;19;12;high;low;high;right;high;2.301059980294667
M4;Xh;male;19;13;high;low;big;right;big;2.5875941293488722
M4;Xh;male;19;14;low;small;big;right;big;3.227014517149655
M4;Xh;male;19;15;low;low;high;left;low;2.43605756649049
M4;Xh;male;19;16;high;small;big;right;big;3.07205718595651
M4;Xh;male;19;17;high;low;big;right;big;2.037018586852355
M4;Xh;male;19;18;high;low;high;right;high;3.3525672933319584
M4;Xh;male;19;19;high;low;big;right;big;1.054022560652811
M4;Xh;male;19;20;low;low;big;right;big;1.171831042622216
M4;Xh;male;19;21;low;small;big;right;big;1.0785047776589636
M4;Xh;male;19;22;high;high;small;left;high;1.0776750459335744
M4;Xh;male;19;23;low;small;big;right;big;0.8694076497049537
M4;Xh;male;19;24;high;small;big;right;big;0.9782118452712893
M4;Xh;male;19;25;high;low;high;left;low;1.0171669991104864
M4;Xh;male;19;26;high;high;small;left;high;1.2085381840588525
M4;Xh;male;19;27;low;low;high;right;high;1.2742168568074703
M4;Xh;male;19;28;high;small;big;right;big;1.032387168117566
M4;Xh;male;19;29;low;low;big;left;low;3.732114288228331
M4;Xh;male;19;30;low;small;big;left;small;3.874406960880151
M4;Xh;male;19;31;low;small;big;left;small;1.0964217721193563
M4;Xh;male;19;32;low;high;small;right;small;1.0571275414549746
M4;Xh;male;19;33;high;high;small;left;high;0.9362006576848216
M4;Xh;male;19;34;high;low;high;right;high;1.8428361035184935
M4;Xh;male;19;35;high;high;small;left;high;5.006462591612944
M4;Xh;male;19;36;low;high;small;right;small;0.972223329677945
M4;Xh;male;19;37;low;low;high;left;low;2.8064944861689582
M4;Xh;male;19;38;high;small;big;left;small;1.1389619037800003
M4;Xh;male;19;39;low;low;big;right;big;1.51980757486308
M4;Xh;male;19;40;high;low;big;right;big;1.238627208484104
