participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF15;Afrikaans;male;19;1;low;low;big;right;big;1.0481619536876678
ARF15;Afrikaans;male;19;2;high;low;high;left;low;1.593720456585288
ARF15;Afrikaans;male;19;3;high;small;big;left;small;0.670093460008502
ARF15;Afrikaans;male;19;4;low;low;big;right;big;1.4402899853885174
ARF15;Afrikaans;male;19;5;high;high;small;right;small;0.8283842578530312
ARF15;Afrikaans;male;19;6;high;low;high;left;low;2.066116699948907
ARF15;Afrikaans;male;19;7;high;high;small;right;small;1.3587969224900007
ARF15;Afrikaans;male;19;8;low;low;high;left;low;2.701789593324065
ARF15;Afrikaans;male;19;9;low;high;small;left;high;5.1318055130541325
ARF15;Afrikaans;male;19;10;low;low;high;left;low;1.8371165040880442
ARF15;Afrikaans;male;19;11;low;high;small;left;high;2.484933303669095
ARF15;Afrikaans;male;19;12;low;small;big;right;big;2.3259462006390095
ARF15;Afrikaans;male;19;13;low;high;small;right;small;3.0894599249586463
ARF15;Afrikaans;male;19;14;low;low;big;right;big;2.4476067246869206
ARF15;Afrikaans;male;19;15;high;small;big;right;big;3.2032463494688272
ARF15;Afrikaans;male;19;16;low;high;small;left;high;3.146060049533844
ARF15;Afrikaans;male;19;17;low;small;big;right;big;0.8031692188233137
ARF15;Afrikaans;male;19;18;high;small;big;left;small;4.099847278557718
ARF15;Afrikaans;male;19;19;high;small;big;right;big;4.568224368616939
ARF15;Afrikaans;male;19;20;low;small;big;right;big;1.2055468428879976
ARF15;Afrikaans;male;19;21;high;low;big;left;low;3.6056748935952783
ARF15;Afrikaans;male;19;22;low;high;small;left;high;3.0661672269925475
ARF15;Afrikaans;male;19;23;high;small;big;right;big;2.0922333067283034
ARF15;Afrikaans;male;19;24;high;low;high;left;low;4.5553403394296765
ARF15;Afrikaans;male;19;25;low;high;small;right;small;5.512499758042395
ARF15;Afrikaans;male;19;26;high;small;big;left;small;2.8794944593682885
ARF15;Afrikaans;male;19;27;low;low;high;right;high;2.968757413327694
ARF15;Afrikaans;male;19;28;high;small;big;left;small;3.291261162608862
ARF15;Afrikaans;male;19;29;high;low;high;left;low;3.921941098757088
ARF15;Afrikaans;male;19;30;high;low;high;left;low;1.4365483280271292
ARF15;Afrikaans;male;19;31;low;low;high;left;low;4.5556166507303715
ARF15;Afrikaans;male;19;32;low;low;high;left;low;4.735366620123386
ARF15;Afrikaans;male;19;33;low;low;big;right;big;2.5365369198843837
ARF15;Afrikaans;male;19;34;high;low;big;left;low;2.997016225941479
ARF15;Afrikaans;male;19;35;high;low;big;left;low;3.2401466192677617
ARF15;Afrikaans;male;19;36;high;low;big;left;low;3.4509745715186
ARF15;Afrikaans;male;19;37;low;low;big;right;big;5.447960403747857
ARF15;Afrikaans;male;19;38;high;high;small;left;high;1.402802750468254
ARF15;Afrikaans;male;19;39;high;high;small;right;small;3.3141054455190897
ARF15;Afrikaans;male;19;40;low;low;big;right;big;4.0263755498453975
