participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
M22;Xh;male;20;1;high;low;high;left;low;16.360446191974916
M22;Xh;male;20;2;low;high;small;left;high;9.835082730423892
M22;Xh;male;20;3;low;high;small;left;high;5.574556446808856
M22;Xh;male;20;4;high;small;big;left;small;9.026240758772474
M22;Xh;male;20;5;high;low;big;left;low;10.162878466420807
M22;Xh;male;20;6;low;high;small;right;small;9.392791913007386
M22;Xh;male;20;7;low;low;high;right;high;5.87117329670582
M22;Xh;male;20;8;low;low;big;right;big;1.8969826107786503
M22;Xh;male;20;9;high;low;big;left;low;7.100995559623698
M22;Xh;male;20;10;high;low;high;left;low;3.383600522472989
M22;Xh;male;20;11;low;high;small;left;high;3.4542607433977537
M22;Xh;male;20;12;low;small;big;right;big;1.9744476580235641
M22;Xh;male;20;13;low;small;big;right;big;2.2964029038266744
M22;Xh;male;20;14;high;low;high;left;low;4.188634096615715
M22;Xh;male;20;15;high;high;small;left;high;8.896492350613698
M22;Xh;male;20;16;high;high;small;left;high;1.3792608124786057
M22;Xh;male;20;17;high;small;big;left;small;3.6951193854620215
M22;Xh;male;20;18;low;small;big;right;big;3.410141279367963
M22;Xh;male;20;19;low;high;small;right;small;5.074454013258219
M22;Xh;male;20;20;low;small;big;right;big;1.5961073661746923
M22;Xh;male;20;21;high;low;high;right;high;5.0969830844551325
M22;Xh;male;20;22;high;low;big;left;low;2.1995927130628843
M22;Xh;male;20;23;low;low;high;right;high;1.8497877710324246
M22;Xh;male;20;24;low;low;big;right;big;1.4231027781788725
M22;Xh;male;20;25;low;high;small;right;small;3.4177837321185507
M22;Xh;male;20;26;high;low;high;left;low;1.6070940087665804
M22;Xh;male;20;27;high;low;big;left;low;0.800379260792397
M22;Xh;male;20;28;high;low;high;left;low;3.6677410021366086
M22;Xh;male;20;29;low;low;high;right;high;9.863020452379715
M22;Xh;male;20;30;low;high;small;right;small;2.552613161446061
M22;Xh;male;20;31;low;low;big;right;big;1.8357419368403498
M22;Xh;male;20;32;high;low;high;left;low;2.0897081294388045
M22;Xh;male;20;33;low;low;big;right;big;2.206187935429625
M22;Xh;male;20;34;low;small;big;right;big;0.8819495458446909
M22;Xh;male;20;35;high;low;big;right;big;5.106128685787553
M22;Xh;male;20;36;high;small;big;left;small;0.47300668008392677
M22;Xh;male;20;37;high;high;small;left;high;1.2056092548009474
M22;Xh;male;20;38;low;low;big;right;big;1.080487528553931
M22;Xh;male;20;39;high;small;big;left;small;1.665730619803071
M22;Xh;male;20;40;high;small;big;left;small;1.1220672714116517
