participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
F8;Xh;female;21;1;high;low;high;right;high;7.490422361850506
F8;Xh;female;21;2;low;high;small;right;small;10.82066347746877
F8;Xh;female;21;3;high;high;small;left;high;3.459808340645395
F8;Xh;female;21;4;high;low;high;right;high;3.2574963023362216
F8;Xh;female;21;5;high;high;small;left;high;1.1678197516303044
F8;Xh;female;21;6;high;high;small;left;high;0.9910782130609732
F8;Xh;female;21;7;low;high;small;right;small;1.8119655049522407
F8;Xh;female;21;8;high;small;big;right;big;2.8735168348357547
F8;Xh;female;21;9;low;low;big;left;low;2.109296824084595
F8;Xh;female;21;10;low;small;big;left;small;2.938374460034538
F8;Xh;female;21;11;high;low;big;right;big;1.2049326800333802
F8;Xh;female;21;12;high;low;high;right;high;1.8513947348110378
F8;Xh;female;21;13;low;high;small;right;small;2.0291744248534087
F8;Xh;female;21;14;high;low;big;right;big;1.399176741950214
F8;Xh;female;21;15;low;low;big;right;big;2.0202834271767642
F8;Xh;female;21;16;low;low;high;left;low;1.6882908750267234
F8;Xh;female;21;17;high;small;big;right;big;1.4955321986635681
F8;Xh;female;21;18;low;small;big;left;small;3.046149188274285
F8;Xh;female;21;19;high;low;big;left;low;1.0921333775913808
F8;Xh;female;21;20;high;low;high;right;high;1.1797896776115522
F8;Xh;female;21;21;high;small;big;right;big;1.6495532198459841
F8;Xh;female;21;22;low;small;big;left;small;2.389161540719215
F8;Xh;female;21;23;low;high;small;right;small;2.9398464246478397
F8;Xh;female;21;24;low;high;small;right;small;1.4155957193288486
F8;Xh;female;21;25;high;low;high;left;low;1.1447246313036885
F8;Xh;female;21;26;low;low;big;left;low;1.1387124316534027
F8;Xh;female;21;27;high;small;big;right;big;2.0736870443215594
F8;Xh;female;21;28;low;low;big;left;low;1.0329413752187975
F8;Xh;female;21;29;low;low;high;left;low;1.3635878830973525
F8;Xh;female;21;30;low;high;small;right;small;1.3805140941985883
F8;Xh;female;21;31;high;small;big;right;big;1.062096458103042
F8;Xh;female;21;32;low;small;big;left;small;0.7991753208916634
F8;Xh;female;21;33;low;low;big;left;low;0.7313895558763761
F8;Xh;female;21;34;low;low;big;left;low;0.5300734324555378
F8;Xh;female;21;35;high;small;big;right;big;0.3691078489355277
F8;Xh;female;21;36;high;low;high;right;high;0.6356980423734058
F8;Xh;female;21;37;high;high;small;left;high;1.629417423333507
F8;Xh;female;21;38;high;low;high;right;high;0.674720301060006
F8;Xh;female;21;39;low;low;big;left;low;0.9817364287155215
F8;Xh;female;21;40;low;low;high;left;low;0.9404843154188711
