participant;language;gender;age;trial;voice;left;right;choice;choiceName;RT
ARF18;Afrikaans;male;19;1;low;small;big;left;small;2.067412208765745
ARF18;Afrikaans;male;19;2;low;small;big;right;big;1.0504798153415322
ARF18;Afrikaans;male;19;3;low;small;big;right;big;0.8932172935456038
ARF18;Afrikaans;male;19;4;low;low;high;left;low;1.5238080201670527
ARF18;Afrikaans;male;19;5;high;high;small;left;high;1.0260558174923062
ARF18;Afrikaans;male;19;6;high;high;small;left;high;0.763465566560626
ARF18;Afrikaans;male;19;7;low;low;big;left;low;1.171129827387631
ARF18;Afrikaans;male;19;8;low;small;big;right;big;2.0858323443681
ARF18;Afrikaans;male;19;9;low;low;high;left;low;0.9814878925681114
ARF18;Afrikaans;male;19;10;low;low;high;left;low;0.8835222981870174
ARF18;Afrikaans;male;19;11;low;low;high;left;low;0.6631019795313478
ARF18;Afrikaans;male;19;12;high;high;small;right;small;1.2357003660872579
ARF18;Afrikaans;male;19;13;high;low;big;right;big;0.919276662170887
ARF18;Afrikaans;male;19;14;high;high;small;left;high;1.0313602164387703
ARF18;Afrikaans;male;19;15;high;low;high;right;high;1.378586775623262
ARF18;Afrikaans;male;19;16;high;high;small;right;small;1.0284624937921762
ARF18;Afrikaans;male;19;17;low;high;small;right;small;1.464180702343583
ARF18;Afrikaans;male;19;18;low;low;high;left;low;0.9989401465281844
ARF18;Afrikaans;male;19;19;high;low;high;right;high;2.130809606052935
ARF18;Afrikaans;male;19;20;high;small;big;left;small;1.374882617034018
ARF18;Afrikaans;male;19;21;low;low;big;left;low;2.182161777280271
ARF18;Afrikaans;male;19;22;high;low;big;right;big;1.3357465891167521
ARF18;Afrikaans;male;19;23;high;small;big;left;small;2.3929407838732004
ARF18;Afrikaans;male;19;24;high;low;big;right;big;1.02242823690176
ARF18;Afrikaans;male;19;25;high;low;high;right;high;1.442134958691895
ARF18;Afrikaans;male;19;26;low;low;big;left;low;1.3313027042895555
ARF18;Afrikaans;male;19;27;high;small;big;left;small;2.2446647128090262
ARF18;Afrikaans;male;19;28;low;high;small;right;small;2.114416020922363
ARF18;Afrikaans;male;19;29;low;low;high;left;low;1.9089998342096806
ARF18;Afrikaans;male;19;30;high;small;big;left;small;1.6044962257146835
ARF18;Afrikaans;male;19;31;low;high;small;left;high;1.5098838731646538
ARF18;Afrikaans;male;19;32;low;low;high;left;low;1.751277449540794
ARF18;Afrikaans;male;19;33;high;low;big;right;big;0.9482566490769386
ARF18;Afrikaans;male;19;34;high;low;big;right;big;0.851628010161221
ARF18;Afrikaans;male;19;35;high;low;big;right;big;1.2599388398230076
ARF18;Afrikaans;male;19;36;low;high;small;left;high;0.924765401519835
ARF18;Afrikaans;male;19;37;low;high;small;right;small;1.2283781012520194
ARF18;Afrikaans;male;19;38;low;small;big;right;big;2.485527374781668
ARF18;Afrikaans;male;19;39;high;small;big;left;small;1.423373380675912
ARF18;Afrikaans;male;19;40;high;low;big;right;big;2.530795552767813
