participant;language;gender;age;condition;block;trial;sound;visual;key;RT
F39;Xh;female;19;size;1;1;high;big;s;0.4093841788126156
F39;Xh;female;19;size;1;2;low;big;k;0.6482573067769408
F39;Xh;female;19;size;1;3;low;big;k;0.8058735689846799
F39;Xh;female;19;size;1;4;high;big;s;0.5900359563529491
F39;Xh;female;19;size;1;5;low;big;k;0.5899716146523133
F39;Xh;female;19;size;1;6;high;small;s;0.6032571904361248
F39;Xh;female;19;size;1;7;low;small;k;0.628183088847436
F39;Xh;female;19;size;1;8;low;small;k;0.7692501113051549
F39;Xh;female;19;size;1;9;high;small;s;0.6041224482469261
F39;Xh;female;19;size;1;10;high;small;s;0.5787410262273625
F39;Xh;female;19;size;1;11;low;small;k;0.6223820720333606
F39;Xh;female;19;size;1;12;high;big;s;0.3959284726297483
F39;Xh;female;19;size;1;13;high;small;k;0.536601944710128
F39;Xh;female;19;size;1;14;low;big;k;0.6905069139320403
F39;Xh;female;19;size;1;15;high;big;s;0.7420327794970945
F39;Xh;female;19;size;1;16;low;small;k;0.6598040775861591
F39;Xh;female;19;height;2;1;low;low;s;0.4274116988526657
F39;Xh;female;19;height;2;2;low;high;k;0.9875883662607521
F39;Xh;female;19;height;2;3;low;low;k;0.6784244887530804
F39;Xh;female;19;height;2;4;low;high;k;0.8099918329389766
F39;Xh;female;19;height;2;5;low;high;k;0.6445215404964983
F39;Xh;female;19;height;2;6;high;low;s;0.6189466986106709
F39;Xh;female;19;height;2;7;high;low;s;0.7322086297208443
F39;Xh;female;19;height;2;8;high;high;s;0.5450386030133814
F39;Xh;female;19;height;2;9;low;high;k;0.5903225335059687
F39;Xh;female;19;height;2;10;high;low;s;0.703675253666006
F39;Xh;female;19;height;2;11;high;low;s;0.7328453364316374
F39;Xh;female;19;height;2;12;low;high;k;0.5980932748643681
F39;Xh;female;19;height;2;13;high;high;s;0.6091312329517677
F39;Xh;female;19;height;2;14;high;low;k;0.48902618628926575
F39;Xh;female;19;height;2;15;high;low;s;0.45679888559971005
F39;Xh;female;19;height;2;16;low;high;k;1.1004547735210508
F39;Xh;female;19;height;3;1;high;low;s;0.3103358439402655
F39;Xh;female;19;height;3;2;high;high;k;0.4134578378871083
F39;Xh;female;19;height;3;3;low;low;k;0.6383802626514807
F39;Xh;female;19;height;3;4;low;high;k;0.5651704522315413
F39;Xh;female;19;height;3;5;high;high;s;0.6739272796548903
F39;Xh;female;19;height;3;6;low;low;k;0.659427106147632
F39;Xh;female;19;height;3;7;low;low;k;0.6174956549657509
F39;Xh;female;19;height;3;8;high;high;s;0.4491899851709604
F39;Xh;female;19;height;3;9;low;high;k;0.6193659064592794
F39;Xh;female;19;height;3;10;high;low;s;0.556085245218128
F39;Xh;female;19;height;3;11;high;low;k;0.20438242028467357
F39;Xh;female;19;height;3;12;low;high;k;0.587760707247071
F39;Xh;female;19;height;3;13;high;high;s;0.7112731013912708
F39;Xh;female;19;height;3;14;high;high;k;0.6945371521869674
F39;Xh;female;19;height;3;15;low;low;k;0.6505282138241455
F39;Xh;female;19;height;3;16;low;low;k;0.6739032007753849
F39;Xh;female;19;height;4;1;low;low;s;0.30816954164765775
F39;Xh;female;19;height;4;2;low;low;s;0.6995526475366205
F39;Xh;female;19;height;4;3;low;high;k;0.9080213581910357
F39;Xh;female;19;height;4;4;low;high;k;0.5748789448989555
F39;Xh;female;19;height;4;5;low;low;k;0.6212480001850054
F39;Xh;female;19;height;4;6;high;low;s;0.6240000884281471
F39;Xh;female;19;height;4;7;high;low;s;0.6534812218742445
F39;Xh;female;19;height;4;8;low;low;k;0.6081321601523086
F39;Xh;female;19;height;4;9;high;low;s;0.4954046994680539
F39;Xh;female;19;height;4;10;high;high;k;0.5861288752639666
F39;Xh;female;19;height;4;11;low;high;k;0.8620067745214328
F39;Xh;female;19;height;4;12;high;high;s;0.6873904858948663
F39;Xh;female;19;height;4;13;low;high;k;0.6283926927717403
