participant;language;gender;age;condition;block;trial;sound;visual;key;RT
M36;Xh;male;18;height;1;1;high;low;s;1.6042957365862094
M36;Xh;male;18;height;1;2;low;low;k;1.1093205081415363
M36;Xh;male;18;height;1;3;high;high;s;1.114257451321464
M36;Xh;male;18;height;1;4;low;low;k;1.8307651255163364
M36;Xh;male;18;height;1;5;high;low;s;1.610935958684422
M36;Xh;male;18;height;1;6;high;high;s;1.9737450308166444
M36;Xh;male;18;height;1;7;high;high;s;1.3916270517511293
M36;Xh;male;18;height;1;8;low;low;k;1.2913439877447672
M36;Xh;male;18;height;1;9;low;high;k;1.1549431207822636
M36;Xh;male;18;height;1;10;low;high;k;0.8394169140956365
M36;Xh;male;18;height;1;11;high;low;s;0.8585674535715953
M36;Xh;male;18;height;1;12;low;high;k;0.5711234417394735
M36;Xh;male;18;height;1;13;high;low;s;0.5058639768976718
M36;Xh;male;18;height;1;14;low;low;k;0.5394945583539084
M36;Xh;male;18;height;1;15;low;high;k;0.8783361471141689
M36;Xh;male;18;height;1;16;high;high;s;0.6746745118871331
M36;Xh;male;18;size;2;1;low;small;k;1.1807848030584864
M36;Xh;male;18;size;2;2;high;small;s;0.7283512851572596
M36;Xh;male;18;size;2;3;low;big;k;0.6285478234640323
M36;Xh;male;18;size;2;4;low;big;k;0.7914014215930365
M36;Xh;male;18;size;2;5;low;small;k;0.5976669617812149
M36;Xh;male;18;size;2;6;low;big;k;0.7908969510463066
M36;Xh;male;18;size;2;7;high;small;s;0.6048771803616546
M36;Xh;male;18;size;2;8;high;small;s;0.5590410164440982
M36;Xh;male;18;size;2;9;high;small;s;0.7552792765200138
M36;Xh;male;18;size;2;10;high;big;s;0.6547514772391878
M36;Xh;male;18;size;2;11;high;big;s;0.5660980780958198
M36;Xh;male;18;size;2;12;low;big;k;0.7045152484206483
M36;Xh;male;18;size;2;13;high;big;s;0.728616151958704
M36;Xh;male;18;size;2;14;low;small;k;0.6708834826713428
M36;Xh;male;18;size;2;15;high;big;s;0.6025139054981992
M36;Xh;male;18;size;2;16;low;small;k;0.5640474328538403
M36;Xh;male;18;height;3;1;high;high;s;0.8051247578114271
M36;Xh;male;18;height;3;2;high;low;s;0.67133584828116
M36;Xh;male;18;height;3;3;low;high;k;0.6809977623051964
M36;Xh;male;18;height;3;4;low;low;k;0.6359696196159348
M36;Xh;male;18;height;3;5;low;low;k;0.6936478155548684
M36;Xh;male;18;height;3;6;high;low;s;0.6295165016781539
M36;Xh;male;18;height;3;7;high;high;s;0.4988021784229204
M36;Xh;male;18;height;3;8;low;high;k;0.6974948970600963
M36;Xh;male;18;height;3;9;low;high;k;0.6975548967020586
M36;Xh;male;18;height;3;10;low;high;k;0.6030424548662268
M36;Xh;male;18;height;3;11;high;low;s;0.5190729741589166
M36;Xh;male;18;height;3;12;low;low;s;0.5330359141225927
M36;Xh;male;18;height;3;13;high;high;s;1.0922920608427376
M36;Xh;male;18;height;3;14;high;low;s;0.7419408063869923
M36;Xh;male;18;height;3;15;high;high;s;0.9234827100299299
M36;Xh;male;18;height;3;16;low;low;k;0.5820283742505126
M36;Xh;male;18;height;4;1;low;low;k;0.6904761246405542
M36;Xh;male;18;height;4;2;high;low;s;0.6363631698186509
