participant;language;gender;age;condition;block;trial;sound;visual;key;RT
M38;Xh;male;21;size;1;1;low;big;s;1.9880817842204124
M38;Xh;male;21;size;1;2;low;big;s;1.2791455105761997
M38;Xh;male;21;size;1;3;low;big;s;0.8225420184899122
M38;Xh;male;21;size;1;4;high;small;k;0.7232880270457827
M38;Xh;male;21;size;1;5;low;big;s;1.2603174690739252
M38;Xh;male;21;size;1;6;high;small;k;0.9148186846869066
M38;Xh;male;21;size;1;7;low;big;s;1.0997099096421152
M38;Xh;male;21;size;1;8;high;big;k;1.5026311021647416
M38;Xh;male;21;size;1;9;high;small;k;0.9764319878304377
M38;Xh;male;21;size;1;10;high;small;k;0.9244707302423194
M38;Xh;male;21;size;1;11;low;small;s;1.279510639840737
M38;Xh;male;21;size;1;12;high;small;k;0.942848774488084
M38;Xh;male;21;size;1;13;low;small;s;1.1859064818709157
M38;Xh;male;21;size;1;14;low;small;s;1.0728075760416687
M38;Xh;male;21;size;1;15;high;big;k;0.6808177633793093
M38;Xh;male;21;size;1;16;high;big;k;0.9241162587422878
M38;Xh;male;21;size;2;1;low;small;s;1.281867993704509
M38;Xh;male;21;size;2;2;high;small;k;1.070426538179163
M38;Xh;male;21;size;2;3;high;big;k;0.7611730559146963
M38;Xh;male;21;size;2;4;high;big;k;0.6482770435395651
M38;Xh;male;21;size;2;5;low;big;s;0.7035485438536853
M38;Xh;male;21;size;2;6;low;big;s;0.7824101614532992
M38;Xh;male;21;size;2;7;high;big;k;0.8929511883761734
M38;Xh;male;21;size;2;8;low;big;s;0.798485719889868
M38;Xh;male;21;size;2;9;high;small;k;1.0955750668654218
M38;Xh;male;21;size;2;10;high;big;k;0.7348719027359039
M38;Xh;male;21;size;2;11;low;small;s;1.258178798132576
M38;Xh;male;21;size;2;12;low;small;s;0.7935175927123055
M38;Xh;male;21;size;2;13;high;big;k;0.7105704740970396
M38;Xh;male;21;size;2;14;low;small;s;1.6592613176908344
M38;Xh;male;21;size;2;15;high;small;k;2.3069395491620526
M38;Xh;male;21;size;2;16;low;small;s;1.3899107465986162
M38;Xh;male;21;height;3;1;low;high;s;1.1904731641407125
M38;Xh;male;21;height;3;2;high;high;k;1.185810956172645
M38;Xh;male;21;height;3;3;low;high;s;0.7383676706231199
M38;Xh;male;21;height;3;4;high;low;k;1.4757173212128691
M38;Xh;male;21;height;3;5;low;low;s;1.1311366890440695
M38;Xh;male;21;height;3;6;high;high;k;1.0630860572564416
M38;Xh;male;21;height;3;7;low;high;s;0.6804459235281684
M38;Xh;male;21;height;3;8;low;high;s;0.8653043856611475
M38;Xh;male;21;height;3;9;low;low;s;0.9181565587641671
M38;Xh;male;21;height;3;10;high;low;k;0.7175849044579081
M38;Xh;male;21;height;3;11;high;high;s;0.6148615923011675
M38;Xh;male;21;height;3;12;low;low;s;1.1678769881254993
M38;Xh;male;21;height;3;13;low;low;s;1.0965682186069898
M38;Xh;male;21;height;3;14;high;low;k;0.8881109551293775
M38;Xh;male;21;height;3;15;high;high;k;0.8428451824001968
M38;Xh;male;21;height;3;16;high;low;k;0.7057594512007199
M38;Xh;male;21;height;4;1;high;high;k;1.4407746425713412
M38;Xh;male;21;height;4;2;high;low;k;1.1386023007216863
M38;Xh;male;21;height;4;3;low;high;s;1.416556897573173
M38;Xh;male;21;height;4;4;high;high;k;1.3020752371521667
M38;Xh;male;21;height;4;5;high;high;k;0.6262090221280232
M38;Xh;male;21;height;4;6;low;high;s;0.9001132493140176
M38;Xh;male;21;height;4;7;low;high;s;0.6791448789881542
M38;Xh;male;21;height;4;8;high;high;k;0.8567650963086635
M38;Xh;male;21;height;4;9;low;low;s;0.7320909989066422
M38;Xh;male;21;height;4;10;low;low;s;0.7221729023731314
M38;Xh;male;21;height;4;11;low;low;s;0.6849226063932292
M38;Xh;male;21;height;4;12;low;low;s;0.7412958104396239
M38;Xh;male;21;height;4;13;high;high;k;0.6229516738094389
M38;Xh;male;21;height;4;14;low;low;s;0.6623856404912658
M38;Xh;male;21;height;4;15;high;low;k;0.791113265499007
M38;Xh;male;21;height;4;16;high;low;k;0.7114665211411193
M38;Xh;male;21;size;5;1;high;small;k;0.7892351192422211
M38;Xh;male;21;size;5;2;high;small;k;0.6044729723362252
M38;Xh;male;21;size;5;3;high;big;k;0.5399011348490603
M38;Xh;male;21;size;5;4;low;big;s;0.5798119406681508
M38;Xh;male;21;size;5;5;high;big;k;0.4932482654694468
M38;Xh;male;21;size;5;6;high;big;k;0.6972734510782175
M38;Xh;male;21;size;5;7;low;small;s;0.6712794012855738
M38;Xh;male;21;size;5;8;low;small;s;0.7353795312228613
M38;Xh;male;21;size;5;9;high;big;k;0.5527043451438658
M38;Xh;male;21;size;5;10;high;big;k;0.6250725817517377
M38;Xh;male;21;size;5;11;low;big;s;0.6705905897542834
M38;Xh;male;21;size;5;12;low;small;s;0.7133734831004404
M38;Xh;male;21;size;5;13;low;small;s;0.6208883971557952
M38;Xh;male;21;size;5;14;low;big;s;0.6385890771634877
M38;Xh;male;21;size;5;15;low;small;s;0.6229836473357864
M38;Xh;male;21;size;5;16;high;small;k;0.7377700427314267
M38;Xh;male;21;size;6;1;low;small;s;0.9986034297035076
M38;Xh;male;21;size;6;2;low;big;s;0.5471117481356487
M38;Xh;male;21;size;6;3;high;big;k;0.7269258992746472
M38;Xh;male;21;size;6;4;low;big;s;0.570454761676956
