participant;language;gender;age;condition;block;trial;sound;visual;key;RT
M35;Xh;male;21;size;1;1;high;big;k;2.171441834536381
M35;Xh;male;21;size;1;2;high;small;k;1.1707005233038217
M35;Xh;male;21;size;1;3;high;big;k;1.1654710819129832
M35;Xh;male;21;size;1;4;high;big;k;1.2394624665030278
M35;Xh;male;21;size;1;5;high;small;k;0.8986839160206728
M35;Xh;male;21;size;1;6;high;small;k;0.8184742804733105
M35;Xh;male;21;size;1;7;high;small;k;0.7813424048363231
M35;Xh;male;21;size;1;8;low;small;s;1.5874192619812675
M35;Xh;male;21;size;1;9;low;small;s;0.9104008172871545
M35;Xh;male;21;size;1;10;low;big;s;0.736691628349945
M35;Xh;male;21;size;1;11;low;big;s;0.7463772263727151
M35;Xh;male;21;size;1;12;low;big;s;0.7804759628488682
M35;Xh;male;21;size;1;13;low;small;s;0.8575620650663041
M35;Xh;male;21;size;1;14;low;small;s;0.7115292839589529
M35;Xh;male;21;size;1;15;high;big;k;0.9235063940868713
M35;Xh;male;21;size;1;16;low;big;s;0.950344780809246
M35;Xh;male;21;height;2;1;high;high;k;1.1917599983280525
M35;Xh;male;21;height;2;2;low;high;s;1.0466272116755135
M35;Xh;male;21;height;2;3;high;low;k;0.6146010676166043
M35;Xh;male;21;height;2;4;high;low;k;0.8066468536271714
M35;Xh;male;21;height;2;5;low;high;s;0.5751477589365095
M35;Xh;male;21;height;2;6;high;high;k;0.5983948520151898
M35;Xh;male;21;height;2;7;high;low;k;0.9816862975130789
M35;Xh;male;21;height;2;8;low;low;s;0.6347506797756068
M35;Xh;male;21;height;2;9;low;low;s;0.9208391737192869
M35;Xh;male;21;height;2;10;low;low;s;0.7855502736056224
M35;Xh;male;21;height;2;11;low;high;s;0.6689177053631283
M35;Xh;male;21;height;2;12;high;low;k;0.7339600662817247
M35;Xh;male;21;height;2;13;low;high;s;0.6129597619874403
M35;Xh;male;21;height;2;14;high;high;k;0.6981308142421767
M35;Xh;male;21;height;2;15;high;low;k;0.8115423496346921
M35;Xh;male;21;height;2;16;low;high;s;0.6227945695864037
M35;Xh;male;21;size;3;1;low;big;s;1.137169414840173
M35;Xh;male;21;size;3;2;high;small;k;0.7869721069000661
M35;Xh;male;21;size;3;3;low;small;s;0.7563501910190098
M35;Xh;male;21;size;3;4;high;small;k;0.686317203042563
M35;Xh;male;21;size;3;5;high;big;k;0.7152567608864047
M35;Xh;male;21;size;3;6;high;big;k;0.6830997229553759
M35;Xh;male;21;size;3;7;high;big;k;0.5762838045484386
M35;Xh;male;21;size;3;8;low;small;s;0.9682961170910858
M35;Xh;male;21;size;3;9;low;big;k;0.9001164071378298
M35;Xh;male;21;size;3;10;low;big;s;1.1039647518191487
M35;Xh;male;21;size;3;11;high;big;k;0.9249811218469404
M35;Xh;male;21;size;3;12;high;small;k;0.8911772519350052
M35;Xh;male;21;size;3;13;low;small;s;1.307100600854028
M35;Xh;male;21;size;3;14;low;small;s;0.8960814321180806
M35;Xh;male;21;size;3;15;low;big;s;0.8009176785126328
M35;Xh;male;21;size;3;16;high;small;k;0.7973796740989201
M35;Xh;male;21;height;4;1;low;low;s;1.0701162769109942
M35;Xh;male;21;height;4;2;high;high;k;0.8490164600079879
M35;Xh;male;21;height;4;3;low;high;s;1.082469884713646
M35;Xh;male;21;height;4;4;low;high;s;0.8646408371278085
M35;Xh;male;21;height;4;5;high;low;k;0.795111135521438
M35;Xh;male;21;height;4;6;low;high;s;0.8124668176751584
M35;Xh;male;21;height;4;7;low;high;s;0.7350274281343445
M35;Xh;male;21;height;4;8;low;low;s;0.7943046931177378
M35;Xh;male;21;height;4;9;high;low;k;0.7063045794493519
M35;Xh;male;21;height;4;10;high;high;k;1.2176198384258896
M35;Xh;male;21;height;4;11;high;high;k;0.7552433556993492
M35;Xh;male;21;height;4;12;low;low;s;0.668693496263586
M35;Xh;male;21;height;4;13;high;low;k;0.9981735639157705
M35;Xh;male;21;height;4;14;high;low;k;0.7410325225791894
M35;Xh;male;21;height;4;15;high;low;k;0.8359543039696291
M35;Xh;male;21;height;4;16;low;high;s;0.7662390772020444
M35;Xh;male;21;size;5;1;low;small;s;0.8982011558255181
M35;Xh;male;21;size;5;2;low;big;s;0.7524549519293942
M35;Xh;male;21;size;5;3;low;big;s;0.6798688218696043
M35;Xh;male;21;size;5;4;high;small;k;2.464512390550226
M35;Xh;male;21;size;5;5;low;big;s;0.795921130455099
M35;Xh;male;21;size;5;6;low;big;s;0.8894416047842242
M35;Xh;male;21;size;5;7;high;big;k;0.8165467923972756
M35;Xh;male;21;size;5;8;high;big;k;0.7747909979661927
M35;Xh;male;21;size;5;9;low;big;s;0.8447083287755959
M35;Xh;male;21;size;5;10;low;small;s;0.7937741701025516
