participant;language;gender;age;condition;block;trial;sound;visual;key;RT
ARF12;Afrikaans;male;20;size;1;1;high;small;k;0.592832705937326
ARF12;Afrikaans;male;20;size;1;2;low;small;s;0.5778708113357425
ARF12;Afrikaans;male;20;size;1;3;low;small;s;0.5410388298332691
ARF12;Afrikaans;male;20;size;1;4;high;big;k;0.5203028069809079
ARF12;Afrikaans;male;20;size;1;5;low;big;s;0.5558988843113184
ARF12;Afrikaans;male;20;size;1;6;high;small;k;0.5110376728698611
ARF12;Afrikaans;male;20;size;1;7;high;small;k;0.5336005138233304
ARF12;Afrikaans;male;20;size;1;8;high;big;k;0.48570381943136454
ARF12;Afrikaans;male;20;size;1;9;low;small;s;0.5677151642739773
ARF12;Afrikaans;male;20;size;1;10;high;big;k;1.123937333934009
ARF12;Afrikaans;male;20;size;1;11;low;small;s;0.6614279244095087
ARF12;Afrikaans;male;20;size;1;12;low;big;s;0.5880635632202029
ARF12;Afrikaans;male;20;size;1;13;low;big;s;0.5288976849988103
ARF12;Afrikaans;male;20;size;1;14;high;small;k;0.5982878925278783
ARF12;Afrikaans;male;20;size;1;15;high;big;k;0.5308160791173577
ARF12;Afrikaans;male;20;size;1;16;low;big;s;0.576199914328754
ARF12;Afrikaans;male;20;size;2;1;low;big;s;0.5796976275742054
ARF12;Afrikaans;male;20;size;2;2;high;small;k;0.48040218371897936
ARF12;Afrikaans;male;20;size;2;3;low;small;s;0.5924166589975357
ARF12;Afrikaans;male;20;size;2;4;high;small;k;0.5318475114181638
ARF12;Afrikaans;male;20;size;2;5;high;big;k;0.5573941264301538
ARF12;Afrikaans;male;20;size;2;6;high;small;k;0.4308551186695695
ARF12;Afrikaans;male;20;size;2;7;low;big;s;0.5319801419973373
ARF12;Afrikaans;male;20;size;2;8;high;big;k;0.5102055799216032
ARF12;Afrikaans;male;20;size;2;9;low;small;k;0.5221675168722868
ARF12;Afrikaans;male;20;size;2;10;high;small;k;0.5861167479306459
ARF12;Afrikaans;male;20;size;2;11;low;big;s;0.6455893320962787
ARF12;Afrikaans;male;20;size;2;12;high;small;k;0.5060601122677326
ARF12;Afrikaans;male;20;size;2;13;low;big;s;0.64448013715446
ARF12;Afrikaans;male;20;size;2;14;high;small;k;0.48642144072800875
ARF12;Afrikaans;male;20;size;2;15;low;big;s;0.519906890578568
ARF12;Afrikaans;male;20;size;2;16;low;big;s;0.5873771253973246
ARF12;Afrikaans;male;20;size;3;1;high;big;k;0.5735867936164141
ARF12;Afrikaans;male;20;size;3;2;low;small;s;0.6057644980028272
ARF12;Afrikaans;male;20;size;3;3;low;small;s;0.5664228145033121
ARF12;Afrikaans;male;20;size;3;4;high;small;k;0.6592817706987262
ARF12;Afrikaans;male;20;size;3;5;high;big;k;0.5957845067605376
ARF12;Afrikaans;male;20;size;3;6;low;small;s;0.6539639513939619
ARF12;Afrikaans;male;20;size;3;7;low;small;s;0.5589450253173709
ARF12;Afrikaans;male;20;size;3;8;high;big;k;0.5757846562191844
ARF12;Afrikaans;male;20;size;3;9;high;big;k;0.6093336585909128
ARF12;Afrikaans;male;20;size;3;10;high;big;k;0.502029906027019
ARF12;Afrikaans;male;20;size;3;11;low;small;s;0.563068388029933
ARF12;Afrikaans;male;20;size;3;12;low;big;s;0.532668948173523
ARF12;Afrikaans;male;20;size;3;13;low;small;s;0.5946895219385624
ARF12;Afrikaans;male;20;size;3;14;high;big;k;0.4999492773786187
ARF12;Afrikaans;male;20;size;3;15;low;small;s;0.6228930717334151
ARF12;Afrikaans;male;20;size;3;16;high;big;k;0.653828558512032
ARF12;Afrikaans;male;20;height;4;1;high;high;k;0.836555590853095
ARF12;Afrikaans;male;20;height;4;2;low;low;s;0.5403606817126274
ARF12;Afrikaans;male;20;height;4;3;high;high;k;0.4654312105849385
ARF12;Afrikaans;male;20;height;4;4;high;low;k;0.8268234916031361
ARF12;Afrikaans;male;20;height;4;5;high;high;k;0.6711347615346313
ARF12;Afrikaans;male;20;height;4;6;low;low;s;0.5549617912620306
ARF12;Afrikaans;male;20;height;4;7;high;low;k;0.7319754846394062
ARF12;Afrikaans;male;20;height;4;8;high;low;k;0.5649374416097999
ARF12;Afrikaans;male;20;height;4;9;low;low;s;0.6422629319131374
ARF12;Afrikaans;male;20;height;4;10;high;low;k;0.673642884939909
ARF12;Afrikaans;male;20;height;4;11;low;high;s;0.6753690438345075
ARF12;Afrikaans;male;20;height;4;12;low;high;s;0.6207066560164094
ARF12;Afrikaans;male;20;height;4;13;low;low;s;0.7000271184369922
ARF12;Afrikaans;male;20;height;4;14;high;high;k;0.5825120620429516
ARF12;Afrikaans;male;20;height;4;15;low;high;s;0.7140653412789106
ARF12;Afrikaans;male;20;height;4;16;low;high;s;0.6070335591211915
ARF12;Afrikaans;male;20;size;5;1;high;big;k;0.6166168451309204
ARF12;Afrikaans;male;20;size;5;2;high;small;k;0.6235238527879119
ARF12;Afrikaans;male;20;size;5;3;low;big;s;0.676103244535625
ARF12;Afrikaans;male;20;size;5;4;low;small;s;0.5938242711126804
ARF12;Afrikaans;male;20;size;5;5;low;small;s;0.5638921931385994
ARF12;Afrikaans;male;20;size;5;6;high;small;k;0.6595655819401145
ARF12;Afrikaans;male;20;size;5;7;high;big;k;0.6033771624788642
ARF12;Afrikaans;male;20;size;5;8;high;big;k;0.5249941870570183
ARF12;Afrikaans;male;20;size;5;9;low;small;s;0.6008757501840591
ARF12;Afrikaans;male;20;size;5;10;high;big;k;0.6214333567768335
ARF12;Afrikaans;male;20;size;5;11;high;big;k;0.5914894361048937
ARF12;Afrikaans;male;20;size;5;12;low;small;s;0.5617002500221133
ARF12;Afrikaans;male;20;size;5;13;low;small;s;0.562968916259706
