participant;language;gender;age;condition;block;trial;sound;visual;key;RT
F33;Xh;female;20;size;1;1;high;small;k;2.6904808615217917
F33;Xh;female;20;size;1;2;low;small;s;1.3948176899575628
F33;Xh;female;20;size;1;3;high;big;k;1.0961628263466991
F33;Xh;female;20;size;1;4;low;big;s;0.9039358572335914
F33;Xh;female;20;size;1;5;low;big;k;0.8289071106701158
F33;Xh;female;20;size;1;6;low;small;s;1.029834026005119
F33;Xh;female;20;size;1;7;high;big;k;1.06019068043679
F33;Xh;female;20;size;1;8;low;big;s;0.7333569121547043
F33;Xh;female;20;size;1;9;low;small;s;0.9874300777446479
F33;Xh;female;20;size;1;10;high;small;k;0.5821910048252903
F33;Xh;female;20;size;1;11;low;small;s;1.0234361708862707
F33;Xh;female;20;size;1;12;low;big;s;1.0676401079981588
F33;Xh;female;20;size;1;13;high;small;k;0.8414300595759414
F33;Xh;female;20;size;1;14;high;small;k;0.7710793103906326
F33;Xh;female;20;size;1;15;high;big;k;1.229313450283371
F33;Xh;female;20;size;1;16;high;big;k;0.650032032688614
F33;Xh;female;20;height;2;1;low;low;s;1.2568023592466488
F33;Xh;female;20;height;2;2;high;low;k;1.2187341735698283
F33;Xh;female;20;height;2;3;low;high;s;0.7503589122206904
F33;Xh;female;20;height;2;4;high;high;k;2.2602720746654086
F33;Xh;female;20;height;2;5;high;low;k;1.0148562238900922
F33;Xh;female;20;height;2;6;low;high;s;1.6946828091749921
F33;Xh;female;20;height;2;7;high;low;k;1.2228571744053625
F33;Xh;female;20;height;2;8;high;low;k;1.0482775961863808
F33;Xh;female;20;height;2;9;low;low;s;0.912814223440364
F33;Xh;female;20;height;2;10;low;high;s;0.7148474213317968
F33;Xh;female;20;height;2;11;low;low;k;14.737783068965655
F33;Xh;female;20;height;2;12;low;high;s;2.6191132765379734
F33;Xh;female;20;height;2;13;high;high;k;1.1238479182939045
F33;Xh;female;20;height;2;14;high;low;k;0.6918513793498278
F33;Xh;female;20;height;2;15;low;high;k;1.1417526760487817
F33;Xh;female;20;height;2;16;high;high;s;1.0709775873692706
F33;Xh;female;20;size;3;1;low;small;s;1.8261763381306082
F33;Xh;female;20;size;3;2;low;big;s;0.8404949337709695
F33;Xh;female;20;size;3;3;high;small;k;0.761853972740937
F33;Xh;female;20;size;3;4;high;big;k;0.9599822211894207
F33;Xh;female;20;size;3;5;high;big;k;0.774376921588555
F33;Xh;female;20;size;3;6;low;big;s;0.7965937579283491
F33;Xh;female;20;size;3;7;high;small;k;0.9717835955671035
F33;Xh;female;20;size;3;8;high;big;k;0.7341148021514527
F33;Xh;female;20;size;3;9;low;small;s;0.6179543363396078
F33;Xh;female;20;size;3;10;high;small;k;0.758392152027227
F33;Xh;female;20;size;3;11;low;big;s;0.569744634500239
F33;Xh;female;20;size;3;12;high;small;k;1.2042233422980644
F33;Xh;female;20;size;3;13;low;small;s;1.1701194742927328
