participant;language;gender;age;condition;block;trial;sound;visual;key;RT
F37;Xh;female;20;size;1;1;low;big;s;0.7403977896319702
F37;Xh;female;20;size;1;2;low;small;k;0.5939525110879913
F37;Xh;female;20;size;1;3;high;big;s;0.661655381845776
F37;Xh;female;20;size;1;4;low;small;s;0.9687082198215649
F37;Xh;female;20;size;1;5;low;big;s;0.7315604758332483
F37;Xh;female;20;size;1;6;low;big;s;0.5632078328053467
F37;Xh;female;20;size;1;7;high;small;k;0.5888845160952769
F37;Xh;female;20;size;1;8;low;big;s;0.5060029234155081
F37;Xh;female;20;size;1;9;high;small;k;0.6498046657070518
F37;Xh;female;20;size;1;10;low;small;s;0.5542813090723939
F37;Xh;female;20;size;1;11;high;small;k;0.5497537055052817
F37;Xh;female;20;size;1;12;high;small;k;0.6468453418347053
F37;Xh;female;20;size;1;13;high;small;k;0.46988551516551524
F37;Xh;female;20;size;1;14;low;big;s;0.543751768884249
F37;Xh;female;20;size;1;15;high;big;k;0.4597514989436604
F37;Xh;female;20;size;1;16;high;big;k;0.577526428445708
F37;Xh;female;20;size;2;1;high;big;s;0.8801906093722209
F37;Xh;female;20;size;2;2;high;small;k;1.069070230703801
F37;Xh;female;20;size;2;3;low;small;s;0.5568545826245099
F37;Xh;female;20;size;2;4;high;big;k;0.684866948868148
F37;Xh;female;20;size;2;5;low;big;s;0.6987647576024756
F37;Xh;female;20;size;2;6;low;big;s;0.8165294241043739
F37;Xh;female;20;size;2;7;low;small;s;0.4140459920745343
F37;Xh;female;20;size;2;8;high;small;k;0.5849051986006089
F37;Xh;female;20;size;2;9;low;small;s;0.43017839232925326
F37;Xh;female;20;size;2;10;low;big;s;0.6795518501312472
F37;Xh;female;20;size;2;11;low;big;s;0.57089331158204
F37;Xh;female;20;size;2;12;high;big;k;0.5637044087052345
F37;Xh;female;20;size;2;13;low;small;s;0.4502991889603436
F37;Xh;female;20;size;2;14;high;small;k;0.5847362522617914
F37;Xh;female;20;size;2;15;high;small;k;0.7574443947523832
F37;Xh;female;20;size;2;16;high;big;k;0.5032583351130597
F37;Xh;female;20;size;3;1;low;small;s;0.4799117689835839
F37;Xh;female;20;size;3;2;low;big;s;0.6608990707318299
F37;Xh;female;20;size;3;3;high;big;k;0.5035871488507837
F37;Xh;female;20;size;3;4;low;small;s;0.45069194969255477
F37;Xh;female;20;size;3;5;low;big;s;0.6419976087054238
F37;Xh;female;20;size;3;6;low;small;s;0.5702151579316705
F37;Xh;female;20;size;3;7;high;small;k;0.59797603887273
F37;Xh;female;20;size;3;8;high;big;k;0.580549699254334
F37;Xh;female;20;size;3;9;high;big;k;0.5000309866736643
F37;Xh;female;20;size;3;10;high;big;k;0.5729889565263875
F37;Xh;female;20;size;3;11;high;small;k;0.5166086472454481
F37;Xh;female;20;size;3;12;low;big;s;0.5071823898470029
F37;Xh;female;20;size;3;13;high;small;k;0.5755559143726714
F37;Xh;female;20;size;3;14;low;small;s;0.5401707384153269
F37;Xh;female;20;size;3;15;low;small;s;0.7672342026489787
F37;Xh;female;20;size;3;16;high;big;k;0.5343385376618244
F37;Xh;female;20;height;4;1;high;low;k;0.5706300237216055
F37;Xh;female;20;height;4;2;low;high;s;0.47477272182004526
F37;Xh;female;20;height;4;3;high;high;s;1.1116028624237515
F37;Xh;female;20;height;4;4;high;high;k;0.9274940009927377
F37;Xh;female;20;height;4;5;low;low;s;1.1302627470577136
F37;Xh;female;20;height;4;6;high;low;k;0.6713058485183865
F37;Xh;female;20;height;4;7;high;low;k;0.6273730938555673
F37;Xh;female;20;height;4;8;low;low;s;0.6227314120042138
F37;Xh;female;20;height;4;9;low;low;s;0.6896838927641511
F37;Xh;female;20;height;4;10;high;high;k;0.6011532560223714
F37;Xh;female;20;height;4;11;low;high;s;0.686751016182825
F37;Xh;female;20;height;4;12;high;low;k;0.662320509320125
F37;Xh;female;20;height;4;13;high;high;k;0.6814280227408744
F37;Xh;female;20;height;4;14;low;low;s;0.5858399296994321
F37;Xh;female;20;height;4;15;low;high;s;0.6426512888283469
F37;Xh;female;20;height;4;16;low;high;s;0.5834829705418088
F37;Xh;female;20;height;5;1;high;low;k;0.4646110741305165
