participant;language;gender;age;condition;block;trial;sound;visual;key;RT
ARF14;Afrikaans;female;21;height;1;1;low;low;s;0.6695435997098684
ARF14;Afrikaans;female;21;height;1;2;high;high;k;0.5767864845693111
ARF14;Afrikaans;female;21;height;1;3;high;high;k;0.6380239119753242
ARF14;Afrikaans;female;21;height;1;4;low;low;s;0.5759022869169712
ARF14;Afrikaans;female;21;height;1;5;low;low;s;0.5914791729301214
ARF14;Afrikaans;female;21;height;1;6;high;high;k;0.5520893326029181
ARF14;Afrikaans;female;21;height;1;7;high;low;k;0.653135409578681
ARF14;Afrikaans;female;21;height;1;8;low;high;s;0.6539588188752532
ARF14;Afrikaans;female;21;height;1;9;high;low;k;0.7960553718730807
ARF14;Afrikaans;female;21;height;1;10;low;high;s;0.6626736959442496
ARF14;Afrikaans;female;21;height;1;11;low;low;s;0.8020458128303289
ARF14;Afrikaans;female;21;height;1;12;low;high;s;0.7659713206812739
ARF14;Afrikaans;female;21;height;1;13;low;low;s;0.5855143880471587
ARF14;Afrikaans;female;21;height;1;14;high;high;k;0.6777382213622332
ARF14;Afrikaans;female;21;height;1;15;high;high;k;0.5792038189247251
ARF14;Afrikaans;female;21;height;1;16;high;low;k;0.6011899570003152
ARF14;Afrikaans;female;21;height;2;1;low;high;s;0.6302023120224476
ARF14;Afrikaans;female;21;height;2;2;high;high;k;0.562575763091445
ARF14;Afrikaans;female;21;height;2;3;high;high;k;0.5285183480009437
ARF14;Afrikaans;female;21;height;2;4;low;low;s;0.46099522057920694
ARF14;Afrikaans;female;21;height;2;5;low;low;s;0.4300538133829832
ARF14;Afrikaans;female;21;height;2;6;high;high;k;0.4660233072936535
ARF14;Afrikaans;female;21;height;2;7;high;low;s;0.31512661557644606
ARF14;Afrikaans;female;21;height;2;8;low;low;s;0.634018967859447
ARF14;Afrikaans;female;21;height;2;9;low;high;s;0.6152084432542324
ARF14;Afrikaans;female;21;height;2;10;low;low;s;0.6323958327993751
ARF14;Afrikaans;female;21;height;2;11;high;high;k;0.6046624081209302
ARF14;Afrikaans;female;21;height;2;12;high;high;k;0.5502909366041422
ARF14;Afrikaans;female;21;height;2;13;high;high;k;0.5435422165319324
ARF14;Afrikaans;female;21;height;2;14;low;low;s;0.6348664565011859
ARF14;Afrikaans;female;21;height;2;15;low;low;s;0.5485608289018273
ARF14;Afrikaans;female;21;height;2;16;high;low;k;0.673564332537353
ARF14;Afrikaans;female;21;size;3;1;high;big;k;0.6760910069569945
ARF14;Afrikaans;female;21;size;3;2;high;big;k;0.4989707376807928
ARF14;Afrikaans;female;21;size;3;3;low;small;s;0.6414268910884857
ARF14;Afrikaans;female;21;size;3;4;low;small;s;0.5530927395448089
ARF14;Afrikaans;female;21;size;3;5;low;small;s;0.6527994936332107
ARF14;Afrikaans;female;21;size;3;6;high;big;k;0.7249318985268474
ARF14;Afrikaans;female;21;size;3;7;low;big;s;0.5808640588074923
ARF14;Afrikaans;female;21;size;3;8;high;small;k;0.7720249202102423
ARF14;Afrikaans;female;21;size;3;9;high;big;k;0.7206699857488275
ARF14;Afrikaans;female;21;size;3;10;low;big;s;0.5902551105245948
ARF14;Afrikaans;female;21;size;3;11;low;small;k;0.6601805742830038
ARF14;Afrikaans;female;21;size;3;12;low;small;s;0.7219631252810359
ARF14;Afrikaans;female;21;size;3;13;high;small;k;0.665895888581872
ARF14;Afrikaans;female;21;size;3;14;low;small;s;0.6029954580590129
ARF14;Afrikaans;female;21;size;3;15;high;big;k;0.6619667336344719
ARF14;Afrikaans;female;21;size;3;16;high;big;k;0.6209699418395758
ARF14;Afrikaans;female;21;height;4;1;low;high;s;0.7239845432341099
ARF14;Afrikaans;female;21;height;4;2;low;low;s;0.47206151206046343
ARF14;Afrikaans;female;21;height;4;3;high;high;k;0.554623113013804
ARF14;Afrikaans;female;21;height;4;4;high;low;k;0.6288819359615445
ARF14;Afrikaans;female;21;height;4;5;high;high;s;0.7021712977439165
ARF14;Afrikaans;female;21;height;4;6;low;low;s;0.5598560655489564
ARF14;Afrikaans;female;21;height;4;7;low;low;s;0.7392945922911167
ARF14;Afrikaans;female;21;height;4;8;low;high;s;0.7047303412109613
ARF14;Afrikaans;female;21;height;4;9;high;low;k;0.6743893213570118
ARF14;Afrikaans;female;21;height;4;10;low;high;k;0.6459781415760517
ARF14;Afrikaans;female;21;height;4;11;low;high;s;0.6882210997864604
ARF14;Afrikaans;female;21;height;4;12;high;low;k;0.999848423525691
ARF14;Afrikaans;female;21;height;4;13;high;low;k;0.6184045830741525
ARF14;Afrikaans;female;21;height;4;14;high;high;k;0.6015961356461048
ARF14;Afrikaans;female;21;height;4;15;high;low;k;0.6198133789002895
ARF14;Afrikaans;female;21;height;4;16;low;high;s;0.5764316208660603
ARF14;Afrikaans;female;21;height;5;1;high;high;k;0.5888044741004705
ARF14;Afrikaans;female;21;height;5;2;high;low;k;0.548671749420464
ARF14;Afrikaans;female;21;height;5;3;low;low;s;0.5496716033667326
ARF14;Afrikaans;female;21;height;5;4;low;low;s;0.5219551511108875
ARF14;Afrikaans;female;21;height;5;5;high;low;k;0.6511274119839072
ARF14;Afrikaans;female;21;height;5;6;high;high;k;0.5852124188095331
ARF14;Afrikaans;female;21;height;5;7;low;high;s;0.644875262863934
ARF14;Afrikaans;female;21;height;5;8;low;high;s;0.5230627674609423
ARF14;Afrikaans;female;21;height;5;9;high;low;s;0.8038015784695745
ARF14;Afrikaans;female;21;height;5;10;high;low;k;0.4921801760792732
ARF14;Afrikaans;female;21;height;5;11;low;high;s;0.5911874659359455
ARF14;Afrikaans;female;21;height;5;12;low;high;s;0.673662225715816
ARF14;Afrikaans;female;21;height;5;13;low;high;s;0.7165442537516356
ARF14;Afrikaans;female;21;height;5;14;high;high;k;0.9504596451297402
ARF14;Afrikaans;female;21;height;5;15;low;low;s;0.6341594932600856
ARF14;Afrikaans;female;21;height;5;16;high;low;k;0.6654229993000627
ARF14;Afrikaans;female;21;size;6;1;high;big;k;0.6729359207674861
ARF14;Afrikaans;female;21;size;6;2;low;big;s;0.5495223943144083
ARF14;Afrikaans;female;21;size;6;3;low;small;s;0.5931224394589663
ARF14;Afrikaans;female;21;size;6;4;low;small;s;0.5554674435406923
ARF14;Afrikaans;female;21;size;6;5;high;big;k;0.6755561465397477
ARF14;Afrikaans;female;21;size;6;6;high;small;k;0.7891187584027648
ARF14;Afrikaans;female;21;size;6;7;high;big;k;0.6310209846124053
ARF14;Afrikaans;female;21;size;6;8;high;big;k;0.4846175191923976
ARF14;Afrikaans;female;21;size;6;9;high;small;k;0.5619043260812759
ARF14;Afrikaans;female;21;size;6;10;high;small;k;0.5299445120617747
ARF14;Afrikaans;female;21;size;6;11;low;big;s;0.5144142052158713
ARF14;Afrikaans;female;21;size;6;12;low;small;s;0.5489247720688581
ARF14;Afrikaans;female;21;size;6;13;low;big;s;0.5740881012752652
ARF14;Afrikaans;female;21;size;6;14;high;small;k;0.5778064709156752
ARF14;Afrikaans;female;21;size;6;15;low;big;s;0.6244735764339566
ARF14;Afrikaans;female;21;size;6;16;low;small;s;0.5329156555235386
ARF14;Afrikaans;female;21;height;7;1;high;low;k;0.72084248252213
ARF14;Afrikaans;female;21;height;7;2;high;high;k;0.5615553827956319
ARF14;Afrikaans;female;21;height;7;3;low;low;s;0.5836520455777645
ARF14;Afrikaans;female;21;height;7;4;high;high;k;0.5727179888635874
ARF14;Afrikaans;female;21;height;7;5;high;low;k;0.5683041037991643
ARF14;Afrikaans;female;21;height;7;6;low;low;s;0.5298533290624619
ARF14;Afrikaans;female;21;height;7;7;high;low;k;0.687809000723064
ARF14;Afrikaans;female;21;height;7;8;high;low;k;0.526831267401576
ARF14;Afrikaans;female;21;height;7;9;low;high;s;0.5154768219217658
ARF14;Afrikaans;female;21;height;7;10;low;high;k;0.6270101191475987
ARF14;Afrikaans;female;21;height;7;11;low;high;s;0.721721944399178
ARF14;Afrikaans;female;21;height;7;12;low;low;s;0.5972154084593058
ARF14;Afrikaans;female;21;height;7;13;high;high;k;0.5927971806377172
ARF14;Afrikaans;female;21;height;7;14;low;high;s;0.6579681048169732
ARF14;Afrikaans;female;21;height;7;15;high;low;k;0.8818332422524691
ARF14;Afrikaans;female;21;height;7;16;low;high;s;0.6043718857690692
